name	type	units	sampling_frequency	contact_quality_mean
AF3	EEG	uV	128.0	3.89
F7	EEG	uV	128.0	3.89
F3	EEG	uV	128.0	3.86
FC5	EEG	uV	128.0	3.89
T7	EEG	uV	128.0	3.88
P7	EEG	uV	128.0	3.88
O1	EEG	uV	128.0	3.89
O2	EEG	uV	128.0	3.81
P8	EEG	uV	128.0	3.79
T8	EEG	uV	128.0	3.88
FC6	EEG	uV	128.0	3.87
F4	EEG	uV	128.0	3.89
F8	EEG	uV	128.0	3.89
AF4	EEG	uV	128.0	3.88
