name	type	units	sampling_frequency	contact_quality_mean
AF3	EEG	uV	128.0	3.86
F7	EEG	uV	128.0	3.86
F3	EEG	uV	128.0	3.85
FC5	EEG	uV	128.0	3.86
T7	EEG	uV	128.0	3.85
P7	EEG	uV	128.0	3.85
O1	EEG	uV	128.0	3.86
O2	EEG	uV	128.0	3.86
P8	EEG	uV	128.0	3.86
T8	EEG	uV	128.0	3.86
FC6	EEG	uV	128.0	3.86
F4	EEG	uV	128.0	3.85
F8	EEG	uV	128.0	3.86
AF4	EEG	uV	128.0	3.85
