onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
63.006	n/a	categorize_trial	v	v	X	0.815	1
66.004	n/a	categorize_trial	m	m	M	0.605	1
69.01	n/a	categorize_trial	v	v	X	0.632	1
72.017	n/a	categorize_trial	m	m	M	1.075	1
75.015	n/a	categorize_trial	m	m	M	0.659	1
78.021	n/a	categorize_trial	m	m	M	0.682	1
81.019	n/a	categorize_trial	v	v	X	0.906	1
84.025	n/a	categorize_trial	m	m	M	0.825	1
87.031	n/a	categorize_trial	m	m	M	0.548	1
90.03	n/a	categorize_trial	m	m	M	0.645	1
93.036	n/a	categorize_trial	v	m	M	0.876	0
96.042	n/a	categorize_trial	m	m	M	0.735	1
99.04	n/a	categorize_trial	v	v	X	0.572	1
102.046	n/a	categorize_trial	m	m	M	0.729	1
105.052	n/a	categorize_trial	v	v	X	1.038	1
108.059	n/a	categorize_trial	m	m	M	0.822	1
111.057	n/a	categorize_trial	m	m	M	0.799	1
114.063	n/a	categorize_trial	m	m	M	0.669	1
117.061	n/a	categorize_trial	m	m	M	0.848	1
120.067	n/a	categorize_trial	v	v	X	0.875	1
123.066	n/a	categorize_trial	m	m	M	0.876	1
126.072	n/a	categorize_trial	v	m	M	1.017	0
129.078	n/a	categorize_trial	m	m	M	0.653	1
132.076	n/a	categorize_trial	m	m	M	0.714	1
135.082	n/a	categorize_trial	v	v	X	0.767	1
138.088	n/a	categorize_trial	v	v	X	1.661	1
141.094	n/a	categorize_trial	v	v	X	0.757	1
144.093	n/a	categorize_trial	m	m	M	0.623	1
147.099	n/a	categorize_trial	m	m	M	1.051	1
150.097	n/a	categorize_trial	m	m	M	0.602	1
153.103	n/a	categorize_trial	v	v	X	0.628	1
156.109	n/a	categorize_trial	v	m	M	1.549	0
159.108	n/a	categorize_trial	v	v	X	0.89	1
162.114	n/a	categorize_trial	v	v	X	0.797	1
165.12	n/a	categorize_trial	v	v	X	0.55	1
168.126	n/a	categorize_trial	v	v	X	0.514	1
171.124	n/a	categorize_trial	v	v	X	0.875	1
174.13	n/a	categorize_trial	v	v	X	0.556	1
177.136	n/a	categorize_trial	v	v	X	0.651	1
180.135	n/a	categorize_trial	m	m	M	0.956	1
183.141	n/a	categorize_trial	m	m	M	0.979	1
186.147	n/a	categorize_trial	m	m	M	0.671	1
189.145	n/a	categorize_trial	m	m	M	1.003	1
192.151	n/a	categorize_trial	m	m	M	0.636	1
195.157	n/a	categorize_trial	m	m	M	1.051	1
198.156	n/a	categorize_trial	v	v	X	0.664	1
201.162	n/a	categorize_trial	v	v	X	0.776	1
204.168	n/a	categorize_trial	m	v	X	0.65	0
207.166	n/a	categorize_trial	v	v	X	0.624	1
210.172	n/a	categorize_trial	m	m	M	0.675	1
213.178	n/a	categorize_trial	m	m	M	0.975	1
216.185	n/a	categorize_trial	m	m	M	0.739	1
219.191	n/a	categorize_trial	v	v	X	1.077	1
222.189	n/a	categorize_trial	m	m	M	0.69	1
225.195	n/a	categorize_trial	v	v	X	0.625	1
228.201	n/a	categorize_trial	m	m	M	1.217	1
231.199	n/a	categorize_trial	v	v	X	1.759	1
234.206	n/a	categorize_trial	m	m	M	0.793	1
237.212	n/a	categorize_trial	v	v	X	0.635	1
240.218	n/a	categorize_trial	m	m	M	0.84	1
243.216	n/a	categorize_trial	v	v	X	0.932	1
246.222	n/a	categorize_trial	v	v	X	0.724	1
249.228	n/a	categorize_trial	m	m	M	0.739	1
252.234	n/a	categorize_trial	m	m	M	0.598	1
255.233	n/a	categorize_trial	v	v	X	0.585	1
258.239	n/a	categorize_trial	v	v	X	0.699	1
261.245	n/a	categorize_trial	v	v	X	0.609	1
264.251	n/a	categorize_trial	m	m	M	0.569	1
267.249	n/a	categorize_trial	v	v	X	0.569	1
270.255	n/a	categorize_trial	v	m	M	0.622	0
273.254	n/a	categorize_trial	m	m	M	0.686	1
276.26	n/a	categorize_trial	m	m	M	0.755	1
279.266	n/a	categorize_trial	v	v	X	0.614	1
