onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
62.506	n/a	categorize_trial	m	m	M	1.333	1
65.036	n/a	categorize_trial	m	m	M	0.78	1
67.558	n/a	categorize_trial	v	v	X	1.428	1
70.072	n/a	categorize_trial	v	v	X	0.851	1
72.594	n/a	categorize_trial	v	v	X	0.997	1
75.109	n/a	categorize_trial	v	m	M	1.032	0
77.623	n/a	categorize_trial	m	m	M	1.716	1
80.145	n/a	categorize_trial	m	m	M	1.473	1
82.667	n/a	categorize_trial	v	v	X	0.738	1
85.197	n/a	categorize_trial	v	v	X	1.563	1
87.726	n/a	categorize_trial	v	v	X	0.933	1
90.241	n/a	categorize_trial	v	v	X	0.622	1
92.763	n/a	categorize_trial	m	m	M	0.732	1
95.292	n/a	categorize_trial	v	v	X	0.965	1
97.822	n/a	categorize_trial	m	m	M	0.618	1
100.352	n/a	categorize_trial	v	v	X	0.678	1
102.874	n/a	categorize_trial	v	v	X	0.593	1
105.404	n/a	categorize_trial	v	v	X	0.6	1
107.926	n/a	categorize_trial	m	m	M	0.876	1
110.44	n/a	categorize_trial	m	m	M	1.051	1
112.97	n/a	categorize_trial	m	m	M	0.642	1
115.476	n/a	categorize_trial	m	m	M	0.601	1
117.99	n/a	categorize_trial	v	m	M	1.23	0
120.512	n/a	categorize_trial	m	m	M	1.414	1
125.556	n/a	categorize_trial	m	m	M	0.601	1
128.078	n/a	categorize_trial	m	m	M	0.493	1
130.592	n/a	categorize_trial	m	m	M	0.678	1
133.122	n/a	categorize_trial	m	m	M	0.531	1
135.629	n/a	categorize_trial	v	v	X	1.07	1
138.143	n/a	categorize_trial	m	m	M	0.465	1
140.673	n/a	categorize_trial	v	v	X	0.743	1
143.202	n/a	categorize_trial	v	v	X	1.507	1
145.709	n/a	categorize_trial	m	m	M	0.647	1
148.231	n/a	categorize_trial	m	m	M	1.982	1
150.745	n/a	categorize_trial	m	m	M	0.516	1
153.275	n/a	categorize_trial	v	v	X	0.605	1
155.797	n/a	categorize_trial	m	m	M	0.566	1
158.327	n/a	categorize_trial	m	v	X	1.016	0
160.856	n/a	categorize_trial	m	m	M	0.671	1
163.371	n/a	categorize_trial	m	m	M	0.51	1
165.9	n/a	categorize_trial	v	v	X	0.679	1
168.422	n/a	categorize_trial	v	m	M	1.534	0
170.937	n/a	categorize_trial	v	v	X	1.207	1
173.466	n/a	categorize_trial	v	v	X	0.76	1
175.996	n/a	categorize_trial	m	m	M	0.555	1
178.51	n/a	categorize_trial	v	v	X	0.745	1
181.04	n/a	categorize_trial	v	v	X	0.809	1
183.546	n/a	categorize_trial	v	v	X	0.593	1
186.076	n/a	categorize_trial	v	v	X	0.526	1
188.606	n/a	categorize_trial	m	m	M	0.94	1
191.128	n/a	categorize_trial	m	m	M	0.454	1
193.642	n/a	categorize_trial	m	m	M	0.753	1
196.156	n/a	categorize_trial	v	v	X	0.532	1
198.686	n/a	categorize_trial	m	m	M	0.702	1
201.208	n/a	categorize_trial	v	m	M	1.151	0
203.73	n/a	categorize_trial	v	m	M	1.179	0
206.268	n/a	categorize_trial	m	m	M	0.719	1
208.79	n/a	categorize_trial	m	m	M	0.891	1
211.32	n/a	categorize_trial	v	v	X	1.043	1
213.834	n/a	categorize_trial	m	m	M	0.988	1
216.356	n/a	categorize_trial	v	v	X	0.811	1
218.878	n/a	categorize_trial	m	m	M	1.72	1
221.4	n/a	categorize_trial	v	v	X	0.628	1
223.93	n/a	categorize_trial	v	v	X	1.641	1
226.459	n/a	categorize_trial	m	m	M	0.637	1
228.974	n/a	categorize_trial	m	m	M	0.61	1
231.488	n/a	categorize_trial	v	v	X	0.641	1
234.01	n/a	categorize_trial	v	v	X	0.818	1
236.524	n/a	categorize_trial	m	m	M	0.552	1
239.046	n/a	categorize_trial	m	m	M	0.571	1
241.568	n/a	categorize_trial	m	m	M	1.221	1
244.098	n/a	categorize_trial	m	v	X	0.868	0
