onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
60.0	n/a	categorize_trial	m	m	M	1.444	1
61.946	n/a	categorize_trial	m	m	M	1.002	1
63.452	n/a	categorize_trial	v	v	X	0.728	1
64.681	n/a	categorize_trial	m	m	M	0.617	1
65.8	n/a	categorize_trial	m	m	M	0.908	1
67.211	n/a	categorize_trial	m	m	M	0.595	1
68.306	n/a	categorize_trial	m	m	M	0.563	1
69.37	n/a	categorize_trial	m	m	M	1.285	1
71.159	n/a	categorize_trial	v	v	X	0.73	1
72.388	n/a	categorize_trial	m	m	M	0.655	1
73.547	n/a	categorize_trial	m	m	M	1.038	1
75.091	n/a	categorize_trial	v	v	X	1.559	1
77.156	n/a	categorize_trial	m	m	M	0.785	1
78.448	n/a	categorize_trial	m	m	M	0.701	1
79.654	n/a	categorize_trial	m	m	M	1.788	1
81.947	n/a	categorize_trial	v	v	X	0.619	1
83.066	n/a	categorize_trial	v	v	X	1.084	1
84.65	n/a	categorize_trial	m	m	M	0.611	1
85.761	n/a	categorize_trial	v	v	X	0.549	1
86.809	n/a	categorize_trial	v	v	X	1.34	1
88.653	n/a	categorize_trial	m	m	M	0.641	1
89.796	n/a	categorize_trial	v	v	X	1.015	1
91.309	n/a	categorize_trial	m	m	M	0.889	1
92.704	n/a	categorize_trial	v	v	X	0.667	1
93.87	n/a	categorize_trial	v	v	X	0.609	1
94.981	n/a	categorize_trial	m	m	M	1.461	1
96.944	n/a	categorize_trial	v	v	X	0.673	1
98.118	n/a	categorize_trial	v	m	M	0.639	0
99.875	n/a	categorize_trial	v	v	X	1.674	1
102.05	n/a	categorize_trial	v	v	X	0.636	1
103.185	n/a	categorize_trial	v	v	X	1.866	1
105.557	n/a	categorize_trial	v	v	X	0.674	1
106.731	n/a	categorize_trial	v	v	X	0.821	1
108.055	n/a	categorize_trial	m	m	M	0.583	1
109.143	n/a	categorize_trial	m	m	M	1.357	1
111.003	n/a	categorize_trial	v	v	X	2.095	1
113.603	n/a	categorize_trial	m	m	M	1.349	1
115.455	n/a	categorize_trial	m	m	M	0.986	1
116.944	n/a	categorize_trial	m	m	M	0.911	1
118.355	n/a	categorize_trial	m	m	M	1.447	1
120.301	n/a	categorize_trial	m	m	M	1.167	1
121.972	n/a	categorize_trial	m	m	M	1.662	1
124.139	n/a	categorize_trial	v	v	X	0.711	1
125.353	n/a	categorize_trial	v	v	X	1.087	1
126.945	n/a	categorize_trial	m	m	M	0.757	1
128.206	n/a	categorize_trial	m	m	M	0.808	1
129.514	n/a	categorize_trial	v	v	X	0.738	1
130.759	n/a	categorize_trial	v	v	X	0.785	1
132.043	n/a	categorize_trial	v	v	X	1.146	1
133.69	n/a	categorize_trial	m	m	M	0.762	1
134.951	n/a	categorize_trial	m	m	M	0.689	1
136.141	n/a	categorize_trial	m	m	M	0.649	1
137.292	n/a	categorize_trial	v	v	X	0.591	1
138.387	n/a	categorize_trial	v	v	X	0.754	1
139.64	n/a	categorize_trial	m	m	M	0.632	1
140.775	n/a	categorize_trial	v	v	X	0.672	1
141.949	n/a	categorize_trial	v	v	X	0.697	1
143.147	n/a	categorize_trial	v	v	X	0.663	1
144.313	n/a	categorize_trial	v	v	X	0.57	1
145.385	n/a	categorize_trial	v	v	X	0.667	1
146.551	n/a	categorize_trial	v	v	X	0.793	1
147.852	n/a	categorize_trial	m	m	M	0.728	1
149.081	n/a	categorize_trial	v	v	X	1.595	1
151.177	n/a	categorize_trial	m	m	M	1.316	1
152.998	n/a	categorize_trial	v	v	X	0.738	1
154.235	n/a	categorize_trial	m	m	M	0.999	1
155.74	n/a	categorize_trial	m	m	M	0.668	1
156.914	n/a	categorize_trial	v	v	X	0.573	1
157.986	n/a	categorize_trial	m	m	M	0.585	1
159.073	n/a	categorize_trial	v	v	X	0.609	1
160.185	n/a	categorize_trial	m	m	M	0.552	1
161.241	n/a	categorize_trial	m	m	M	0.714	1
162.454	n/a	categorize_trial	m	m	M	0.633	1
163.589	n/a	categorize_trial	v	v	X	0.701	1
