onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
68.471	n/a	categorize_trial	v	v	X	1.806	1
70.78	n/a	categorize_trial	v	v	X	1.58	1
72.861	n/a	categorize_trial	m	m	M	0.641	1
74.003	n/a	categorize_trial	v	v	X	1.07	1
75.579	n/a	categorize_trial	v	v	X	1.859	1
77.943	n/a	categorize_trial	m	v	X	1.234	0
81.442	n/a	categorize_trial	m	m	M	1.654	1
83.594	n/a	categorize_trial	m	m	M	1.187	1
85.28	n/a	categorize_trial	v	v	X	1.215	1
86.998	n/a	categorize_trial	m	m	M	1.99	1
89.488	n/a	categorize_trial	v	v	X	1.095	1
91.088	n/a	categorize_trial	v	v	X	1.511	1
93.097	n/a	categorize_trial	m	m	M	1.523	1
95.122	n/a	categorize_trial	n/a	v	X	1.175	n/a
100.623	n/a	categorize_trial	m	m	M	0.78	1
101.907	n/a	categorize_trial	m	v	X	1.068	0
105.824	n/a	categorize_trial	m	m	M	1.059	1
107.384	n/a	categorize_trial	v	m	M	1.401	0
112.286	n/a	categorize_trial	m	m	M	1.317	1
114.106	n/a	categorize_trial	v	v	X	2.996	1
123.105	n/a	categorize_trial	m	m	M	0.911	1
124.516	n/a	categorize_trial	v	v	X	2.264	1
127.282	n/a	categorize_trial	v	m	M	2.462	0
131.797	n/a	categorize_trial	m	m	M	1.189	1
133.492	n/a	categorize_trial	m	m	M	0.783	1
134.776	n/a	categorize_trial	v	v	X	2.213	1
137.495	n/a	categorize_trial	m	m	M	0.971	1
138.968	n/a	categorize_trial	v	v	X	1.696	1
141.167	n/a	categorize_trial	v	v	X	1.817	1
143.484	n/a	categorize_trial	m	v	X	4.068	0
148.992	n/a	categorize_trial	m	m	M	0.765	1
150.253	n/a	categorize_trial	m	m	M	0.694	1
151.451	n/a	categorize_trial	v	m	M	2.654	0
156.297	n/a	categorize_trial	m	m	M	0.969	1
157.771	n/a	categorize_trial	v	m	M	3.121	0
162.791	n/a	categorize_trial	v	v	X	1.724	1
165.021	n/a	categorize_trial	m	m	M	1.416	1
166.936	n/a	categorize_trial	m	m	M	1.303	1
168.74	n/a	categorize_trial	v	m	M	1.552	0
172.972	n/a	categorize_trial	v	v	X	1.141	1
174.611	n/a	categorize_trial	v	v	X	1.745	1
176.857	n/a	categorize_trial	v	v	X	4.18	1
181.538	n/a	categorize_trial	m	m	M	0.863	1
182.901	n/a	categorize_trial	v	v	X	1.172	1
184.572	n/a	categorize_trial	m	m	M	0.85	1
185.927	n/a	categorize_trial	m	m	M	0.846	1
187.275	n/a	categorize_trial	m	m	M	0.722	1
188.496	n/a	categorize_trial	v	v	X	0.924	1
189.922	n/a	categorize_trial	m	m	M	1.75	1
192.176	n/a	categorize_trial	v	m	M	1.332	0
195.462	n/a	categorize_trial	v	v	X	2.254	1
198.22	n/a	categorize_trial	m	m	M	0.864	1
199.591	n/a	categorize_trial	v	v	X	1.756	1
201.853	n/a	categorize_trial	n/a	v	X	2.418	n/a
207.354	n/a	categorize_trial	m	m	M	0.93	1
208.788	n/a	categorize_trial	m	m	M	1.996	1
211.286	n/a	categorize_trial	m	m	M	0.808	1
212.594	n/a	categorize_trial	v	v	X	0.926	1
214.02	n/a	categorize_trial	m	m	M	0.732	1
215.258	n/a	categorize_trial	m	m	M	1.805	1
217.566	n/a	categorize_trial	m	m	M	0.711	1
218.78	n/a	categorize_trial	m	m	M	0.653	1
219.938	n/a	categorize_trial	v	v	X	0.99	1
221.428	n/a	categorize_trial	m	m	M	0.919	1
222.846	n/a	categorize_trial	v	m	M	1.776	0
226.786	n/a	categorize_trial	m	m	M	0.865	1
228.158	n/a	categorize_trial	v	v	X	1.238	1
229.899	n/a	categorize_trial	v	v	X	2.434	1
232.831	n/a	categorize_trial	m	m	M	0.698	1
234.028	n/a	categorize_trial	v	v	X	1.092	1
235.62	n/a	categorize_trial	m	m	M	0.675	1
