onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
63.006	n/a	categorize_trial	m	m	M	1.454	1
66.005	n/a	categorize_trial	v	v	X	0.999	1
69.011	n/a	categorize_trial	m	m	M	1.287	1
72.017	n/a	categorize_trial	v	v	X	0.843	1
75.023	n/a	categorize_trial	m	m	M	0.686	1
78.029	n/a	categorize_trial	v	v	X	1.418	1
81.035	n/a	categorize_trial	m	m	M	0.894	1
84.034	n/a	categorize_trial	m	m	M	0.782	1
87.04	n/a	categorize_trial	v	m	M	1.253	0
90.046	n/a	categorize_trial	m	m	M	0.92	1
93.052	n/a	categorize_trial	v	v	X	1.282	1
96.058	n/a	categorize_trial	v	v	X	0.827	1
99.064	n/a	categorize_trial	m	m	M	1.067	1
102.063	n/a	categorize_trial	m	m	M	0.738	1
105.069	n/a	categorize_trial	v	v	X	1.075	1
108.075	n/a	categorize_trial	v	v	X	0.814	1
111.081	n/a	categorize_trial	m	m	M	0.599	1
114.08	n/a	categorize_trial	m	m	M	1.003	1
117.086	n/a	categorize_trial	m	m	M	0.598	1
120.092	n/a	categorize_trial	m	v	X	1.446	0
123.09	n/a	categorize_trial	m	v	X	1.639	0
126.096	n/a	categorize_trial	v	v	X	1.019	1
129.103	n/a	categorize_trial	v	v	X	0.752	1
132.109	n/a	categorize_trial	m	m	M	1.708	1
135.107	n/a	categorize_trial	v	v	X	1.397	1
138.113	n/a	categorize_trial	m	m	M	0.629	1
141.119	n/a	categorize_trial	m	m	M	0.815	1
144.126	n/a	categorize_trial	v	v	X	0.889	1
147.124	n/a	categorize_trial	v	v	X	0.627	1
150.13	n/a	categorize_trial	m	m	M	0.764	1
153.136	n/a	categorize_trial	v	v	X	0.694	1
156.135	n/a	categorize_trial	v	v	X	0.682	1
159.141	n/a	categorize_trial	v	v	X	0.636	1
162.147	n/a	categorize_trial	v	v	X	1.203	1
165.145	n/a	categorize_trial	m	m	M	1.308	1
168.151	n/a	categorize_trial	m	m	M	0.576	1
171.157	n/a	categorize_trial	v	v	X	0.536	1
174.156	n/a	categorize_trial	v	m	M	0.951	0
177.162	n/a	categorize_trial	m	m	M	0.692	1
180.168	n/a	categorize_trial	v	v	X	0.878	1
183.174	n/a	categorize_trial	m	m	M	0.886	1
186.173	n/a	categorize_trial	v	v	X	0.8	1
189.179	n/a	categorize_trial	v	v	X	0.642	1
192.185	n/a	categorize_trial	v	v	X	1.303	1
195.191	n/a	categorize_trial	v	v	X	0.701	1
198.197	n/a	categorize_trial	m	m	M	0.702	1
201.196	n/a	categorize_trial	m	m	M	0.623	1
204.202	n/a	categorize_trial	m	m	M	0.574	1
207.208	n/a	categorize_trial	m	m	M	0.474	1
210.214	n/a	categorize_trial	m	v	X	0.625	0
213.22	n/a	categorize_trial	m	m	M	0.974	1
216.219	n/a	categorize_trial	v	v	X	0.838	1
219.225	n/a	categorize_trial	v	v	X	0.691	1
222.231	n/a	categorize_trial	v	v	X	0.612	1
225.237	n/a	categorize_trial	m	m	M	1.042	1
228.243	n/a	categorize_trial	v	v	X	0.616	1
231.249	n/a	categorize_trial	v	m	M	1.405	0
234.248	n/a	categorize_trial	m	m	M	0.917	1
237.254	n/a	categorize_trial	m	m	M	0.651	1
240.26	n/a	categorize_trial	v	v	X	0.627	1
243.266	n/a	categorize_trial	m	m	M	0.554	1
246.272	n/a	categorize_trial	v	v	X	0.611	1
249.271	n/a	categorize_trial	m	m	M	0.623	1
252.277	n/a	categorize_trial	m	m	M	0.791	1
255.283	n/a	categorize_trial	m	m	M	0.673	1
258.289	n/a	categorize_trial	m	m	M	1.417	1
261.288	n/a	categorize_trial	v	v	X	0.83	1
264.294	n/a	categorize_trial	m	m	M	0.941	1
267.3	n/a	categorize_trial	v	v	X	0.748	1
270.306	n/a	categorize_trial	v	v	X	0.976	1
273.304	n/a	categorize_trial	m	m	M	0.635	1
276.31	n/a	categorize_trial	v	v	X	0.894	1
279.317	n/a	categorize_trial	m	m	M	0.748	1
