name	type	units	sampling_frequency	contact_quality_mean
AF3	EEG	uV	128.0	3.88
F7	EEG	uV	128.0	3.91
F3	EEG	uV	128.0	2.35
FC5	EEG	uV	128.0	3.92
T7	EEG	uV	128.0	3.9
P7	EEG	uV	128.0	3.94
O1	EEG	uV	128.0	3.89
O2	EEG	uV	128.0	3.96
P8	EEG	uV	128.0	3.97
T8	EEG	uV	128.0	3.97
FC6	EEG	uV	128.0	3.97
F4	EEG	uV	128.0	3.96
F8	EEG	uV	128.0	3.97
AF4	EEG	uV	128.0	3.97
