name	type	units	sampling_frequency	contact_quality_mean
AF3	EEG	uV	128.0	3.91
F7	EEG	uV	128.0	3.9
F3	EEG	uV	128.0	3.9
FC5	EEG	uV	128.0	3.91
T7	EEG	uV	128.0	3.92
P7	EEG	uV	128.0	3.74
O1	EEG	uV	128.0	3.9
O2	EEG	uV	128.0	3.91
P8	EEG	uV	128.0	3.8
T8	EEG	uV	128.0	3.88
FC6	EEG	uV	128.0	3.91
F4	EEG	uV	128.0	3.91
F8	EEG	uV	128.0	3.9
AF4	EEG	uV	128.0	3.91
