onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
60.0	n/a	categorize_trial	m	m	M	1.631	1
63.022	n/a	categorize_trial	v	v	X	0.952	1
66.044	n/a	categorize_trial	m	m	M	0.787	1
69.065	n/a	categorize_trial	v	v	X	0.581	1
72.087	n/a	categorize_trial	v	v	X	0.928	1
75.093	n/a	categorize_trial	v	v	X	0.561	1
78.107	n/a	categorize_trial	v	v	X	0.924	1
81.121	n/a	categorize_trial	m	m	M	0.501	1
84.128	n/a	categorize_trial	m	m	M	0.776	1
87.149	n/a	categorize_trial	m	m	M	0.506	1
90.163	n/a	categorize_trial	v	v	X	0.827	1
93.177	n/a	categorize_trial	m	m	M	0.669	1
96.199	n/a	categorize_trial	v	v	X	0.599	1
99.205	n/a	categorize_trial	v	v	X	0.682	1
102.227	n/a	categorize_trial	m	v	X	1.996	0
105.233	n/a	categorize_trial	v	v	X	1.349	1
108.247	n/a	categorize_trial	m	m	M	1.496	1
111.269	n/a	categorize_trial	m	m	M	0.602	1
117.281	n/a	categorize_trial	m	m	M	0.725	1
120.295	n/a	categorize_trial	m	m	M	0.639	1
123.302	n/a	categorize_trial	m	m	M	0.577	1
126.316	n/a	categorize_trial	m	m	M	0.499	1
129.33	n/a	categorize_trial	v	v	X	0.558	1
132.344	n/a	categorize_trial	v	v	X	0.721	1
135.35	n/a	categorize_trial	v	m	M	1.249	0
138.364	n/a	categorize_trial	m	m	M	0.626	1
141.37	n/a	categorize_trial	v	v	X	0.7	1
144.392	n/a	categorize_trial	v	v	X	0.806	1
147.406	n/a	categorize_trial	m	m	M	0.681	1
150.428	n/a	categorize_trial	v	v	X	1.339	1
153.442	n/a	categorize_trial	m	m	M	0.693	1
156.463	n/a	categorize_trial	m	m	M	0.575	1
159.47	n/a	categorize_trial	m	m	M	1.649	1
162.491	n/a	categorize_trial	v	v	X	1.075	1
165.505	n/a	categorize_trial	v	v	X	0.565	1
168.527	n/a	categorize_trial	v	v	X	0.567	1
171.549	n/a	categorize_trial	m	m	M	0.506	1
174.563	n/a	categorize_trial	v	v	X	0.675	1
177.577	n/a	categorize_trial	v	v	X	1.045	1
180.591	n/a	categorize_trial	m	m	M	0.767	1
183.62	n/a	categorize_trial	v	v	X	0.691	1
186.642	n/a	categorize_trial	v	v	X	0.692	1
189.664	n/a	categorize_trial	v	v	X	0.879	1
192.678	n/a	categorize_trial	m	m	M	0.777	1
195.684	n/a	categorize_trial	m	m	M	1.57	1
198.706	n/a	categorize_trial	v	v	X	0.621	1
201.712	n/a	categorize_trial	v	v	X	0.862	1
204.726	n/a	categorize_trial	m	m	M	1.312	1
207.74	n/a	categorize_trial	m	m	M	0.907	1
210.754	n/a	categorize_trial	v	v	X	0.709	1
213.776	n/a	categorize_trial	m	v	X	1.638	0
216.79	n/a	categorize_trial	v	v	X	0.784	1
219.796	n/a	categorize_trial	m	m	M	0.684	1
222.818	n/a	categorize_trial	v	v	X	0.828	1
225.824	n/a	categorize_trial	m	m	M	1.295	1
228.838	n/a	categorize_trial	m	m	M	0.72	1
231.852	n/a	categorize_trial	v	v	X	1.386	1
234.858	n/a	categorize_trial	m	m	M	0.732	1
237.88	n/a	categorize_trial	m	m	M	0.582	1
240.894	n/a	categorize_trial	v	v	X	0.617	1
243.916	n/a	categorize_trial	v	v	X	0.595	1
246.93	n/a	categorize_trial	v	v	X	0.564	1
249.944	n/a	categorize_trial	v	v	X	0.702	1
252.958	n/a	categorize_trial	m	m	M	0.664	1
255.972	n/a	categorize_trial	v	v	X	0.851	1
258.986	n/a	categorize_trial	m	v	X	1.333	0
262.0	n/a	categorize_trial	m	m	M	0.783	1
265.014	n/a	categorize_trial	m	m	M	0.472	1
268.036	n/a	categorize_trial	m	m	M	0.707	1
271.042	n/a	categorize_trial	m	m	M	0.628	1
274.064	n/a	categorize_trial	v	v	X	0.623	1
277.078	n/a	categorize_trial	m	m	M	0.851	1
280.107	n/a	categorize_trial	v	v	X	0.572	1
