onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
60.0	n/a	categorize_trial	v	v	X	1.474	1
62.522	n/a	categorize_trial	v	v	X	0.609	1
65.044	n/a	categorize_trial	m	m	M	1.222	1
67.566	n/a	categorize_trial	m	m	M	0.921	1
70.096	n/a	categorize_trial	v	v	X	0.689	1
72.626	n/a	categorize_trial	m	m	M	1.074	1
75.148	n/a	categorize_trial	m	m	M	0.592	1
77.678	n/a	categorize_trial	m	m	M	0.773	1
80.208	n/a	categorize_trial	m	v	X	1.09	0
82.722	n/a	categorize_trial	v	m	M	1.027	0
85.244	n/a	categorize_trial	m	m	M	0.897	1
87.766	n/a	categorize_trial	v	v	X	0.888	1
90.28	n/a	categorize_trial	v	v	X	1.149	1
92.81	n/a	categorize_trial	m	m	M	0.931	1
95.34	n/a	categorize_trial	m	m	M	0.633	1
97.87	n/a	categorize_trial	v	m	M	1.342	0
100.392	n/a	categorize_trial	m	m	M	0.769	1
102.929	n/a	categorize_trial	v	m	M	1.267	0
105.451	n/a	categorize_trial	m	m	M	0.902	1
107.966	n/a	categorize_trial	m	m	M	0.708	1
110.488	n/a	categorize_trial	v	v	X	1.546	1
113.017	n/a	categorize_trial	m	m	M	0.829	1
115.54	n/a	categorize_trial	v	v	X	1.73	1
118.069	n/a	categorize_trial	v	v	X	1.095	1
120.591	n/a	categorize_trial	m	m	M	0.7	1
123.106	n/a	categorize_trial	v	v	X	1.21	1
125.628	n/a	categorize_trial	v	m	M	1.442	0
128.158	n/a	categorize_trial	v	v	X	0.871	1
130.68	n/a	categorize_trial	m	m	M	0.707	1
133.186	n/a	categorize_trial	m	m	M	1.214	1
135.7	n/a	categorize_trial	m	m	M	1.053	1
138.222	n/a	categorize_trial	m	m	M	0.898	1
140.752	n/a	categorize_trial	v	v	X	1.011	1
143.274	n/a	categorize_trial	v	v	X	0.992	1
145.788	n/a	categorize_trial	m	m	M	0.88	1
148.303	n/a	categorize_trial	v	v	X	1.195	1
150.825	n/a	categorize_trial	v	m	M	1.065	0
153.347	n/a	categorize_trial	v	v	X	1.094	1
155.869	n/a	categorize_trial	m	m	M	0.746	1
158.383	n/a	categorize_trial	m	m	M	1.121	1
160.897	n/a	categorize_trial	m	m	M	0.685	1
163.427	n/a	categorize_trial	v	v	X	0.553	1
165.957	n/a	categorize_trial	m	m	M	0.719	1
168.487	n/a	categorize_trial	m	m	M	1.005	1
171.024	n/a	categorize_trial	m	m	M	0.568	1
173.546	n/a	categorize_trial	v	v	X	0.738	1
176.068	n/a	categorize_trial	m	m	M	0.864	1
178.598	n/a	categorize_trial	m	m	M	1.214	1
181.128	n/a	categorize_trial	m	m	M	0.539	1
183.642	n/a	categorize_trial	m	m	M	0.804	1
186.164	n/a	categorize_trial	m	m	M	0.661	1
188.679	n/a	categorize_trial	m	m	M	1.34	1
191.193	n/a	categorize_trial	m	m	M	0.648	1
193.715	n/a	categorize_trial	v	v	X	1.368	1
196.237	n/a	categorize_trial	m	m	M	0.52	1
198.751	n/a	categorize_trial	v	v	X	0.619	1
201.273	n/a	categorize_trial	v	v	X	1.082	1
203.787	n/a	categorize_trial	v	v	X	0.666	1
206.309	n/a	categorize_trial	v	v	X	0.797	1
208.824	n/a	categorize_trial	m	m	M	0.726	1
211.346	n/a	categorize_trial	v	v	X	1.06	1
213.868	n/a	categorize_trial	m	m	M	1.747	1
216.398	n/a	categorize_trial	v	v	X	0.768	1
218.912	n/a	categorize_trial	v	m	M	1.377	0
221.45	n/a	categorize_trial	m	m	M	0.677	1
223.972	n/a	categorize_trial	v	v	X	0.997	1
226.494	n/a	categorize_trial	v	v	X	1.179	1
229.016	n/a	categorize_trial	v	v	X	1.249	1
231.53	n/a	categorize_trial	v	v	X	0.703	1
234.06	n/a	categorize_trial	m	m	M	0.619	1
236.574	n/a	categorize_trial	v	v	X	1.021	1
239.096	n/a	categorize_trial	m	m	M	0.593	1
241.618	n/a	categorize_trial	v	v	X	0.952	1
244.132	n/a	categorize_trial	v	v	X	0.772	1
