onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
60.0	n/a	categorize_trial	v	v	X	1.896	1
62.514	n/a	categorize_trial	v	v	X	1.009	1
65.044	n/a	categorize_trial	m	m	M	0.534	1
67.574	n/a	categorize_trial	m	m	M	1.198	1
70.104	n/a	categorize_trial	m	m	M	0.544	1
72.618	n/a	categorize_trial	m	v	X	1.825	0
75.125	n/a	categorize_trial	m	m	M	0.571	1
77.662	n/a	categorize_trial	v	m	M	0.606	0
80.176	n/a	categorize_trial	m	m	M	0.776	1
82.706	n/a	categorize_trial	v	v	X	0.79	1
85.221	n/a	categorize_trial	m	m	M	0.51	1
87.75	n/a	categorize_trial	m	m	M	0.89	1
90.272	n/a	categorize_trial	m	m	M	0.918	1
92.802	n/a	categorize_trial	m	m	M	1.036	1
95.324	n/a	categorize_trial	v	v	X	0.719	1
97.839	n/a	categorize_trial	v	v	X	0.738	1
100.361	n/a	categorize_trial	v	v	X	0.943	1
102.891	n/a	categorize_trial	v	v	X	0.69	1
105.42	n/a	categorize_trial	v	v	X	0.718	1
107.942	n/a	categorize_trial	v	v	X	0.881	1
110.465	n/a	categorize_trial	v	m	M	0.773	0
112.979	n/a	categorize_trial	v	v	X	0.809	1
115.509	n/a	categorize_trial	m	v	X	0.934	0
118.023	n/a	categorize_trial	m	m	M	1.022	1
120.553	n/a	categorize_trial	m	m	M	0.744	1
123.075	n/a	categorize_trial	v	v	X	0.74	1
125.597	n/a	categorize_trial	v	m	M	1.001	0
128.103	n/a	categorize_trial	m	m	M	0.678	1
130.633	n/a	categorize_trial	v	v	X	0.533	1
133.163	n/a	categorize_trial	v	v	X	0.838	1
135.701	n/a	categorize_trial	v	v	X	0.624	1
138.231	n/a	categorize_trial	m	v	X	0.699	0
140.737	n/a	categorize_trial	m	m	M	0.524	1
143.259	n/a	categorize_trial	m	m	M	0.597	1
145.781	n/a	categorize_trial	m	m	M	0.707	1
148.288	n/a	categorize_trial	m	m	M	0.586	1
150.802	n/a	categorize_trial	v	v	X	0.802	1
153.324	n/a	categorize_trial	v	m	M	0.695	0
155.838	n/a	categorize_trial	m	m	M	0.633	1
158.345	n/a	categorize_trial	v	v	X	0.714	1
160.874	n/a	categorize_trial	m	v	X	0.591	0
163.389	n/a	categorize_trial	m	m	M	0.62	1
165.919	n/a	categorize_trial	v	v	X	0.557	1
168.433	n/a	categorize_trial	m	m	M	0.601	1
170.963	n/a	categorize_trial	v	v	X	0.658	1
173.485	n/a	categorize_trial	v	v	X	0.656	1
176.015	n/a	categorize_trial	m	m	M	0.706	1
178.544	n/a	categorize_trial	m	m	M	0.629	1
181.059	n/a	categorize_trial	v	v	X	0.65	1
183.573	n/a	categorize_trial	v	v	X	0.603	1
186.087	n/a	categorize_trial	m	m	M	0.511	1
188.617	n/a	categorize_trial	m	m	M	0.554	1
191.123	n/a	categorize_trial	v	m	M	0.597	0
193.638	n/a	categorize_trial	v	v	X	0.633	1
196.16	n/a	categorize_trial	v	v	X	0.706	1
198.69	n/a	categorize_trial	m	m	M	0.524	1
201.212	n/a	categorize_trial	v	v	X	0.627	1
203.765	n/a	categorize_trial	m	m	M	0.526	1
206.279	n/a	categorize_trial	m	m	M	0.614	1
208.801	n/a	categorize_trial	v	v	X	0.725	1
211.323	n/a	categorize_trial	v	v	X	0.716	1
213.861	n/a	categorize_trial	m	m	M	0.698	1
216.375	n/a	categorize_trial	m	m	M	0.495	1
218.882	n/a	categorize_trial	m	m	M	0.582	1
221.396	n/a	categorize_trial	m	v	X	0.626	0
223.91	n/a	categorize_trial	v	v	X	0.669	1
226.44	n/a	categorize_trial	v	m	M	0.584	0
228.954	n/a	categorize_trial	m	m	M	0.844	1
231.484	n/a	categorize_trial	m	m	M	0.565	1
234.006	n/a	categorize_trial	m	m	M	0.548	1
236.544	n/a	categorize_trial	m	m	M	0.433	1
239.058	n/a	categorize_trial	v	v	X	0.708	1
241.565	n/a	categorize_trial	v	m	M	0.677	0
244.071	n/a	categorize_trial	v	v	X	0.669	1
