onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
60.0	n/a	categorize_trial	v	v	X	1.377	1
62.503	n/a	categorize_trial	m	m	M	0.734	1
65.005	n/a	categorize_trial	v	v	X	0.827	1
67.512	n/a	categorize_trial	m	m	M	0.576	1
70.014	n/a	categorize_trial	v	v	X	0.823	1
72.521	n/a	categorize_trial	m	m	M	1.047	1
75.023	n/a	categorize_trial	m	m	M	0.688	1
77.53	n/a	categorize_trial	m	m	M	0.703	1
80.032	n/a	categorize_trial	v	v	X	1.186	1
82.535	n/a	categorize_trial	v	v	X	0.901	1
85.037	n/a	categorize_trial	v	v	X	0.653	1
87.54	n/a	categorize_trial	m	m	M	0.698	1
90.046	n/a	categorize_trial	m	m	M	0.929	1
92.549	n/a	categorize_trial	v	v	X	1.552	1
95.051	n/a	categorize_trial	v	v	X	1.852	1
97.554	n/a	categorize_trial	m	m	M	0.656	1
100.06	n/a	categorize_trial	v	v	X	0.697	1
102.563	n/a	categorize_trial	v	v	X	1.498	1
105.069	n/a	categorize_trial	v	v	X	0.656	1
107.572	n/a	categorize_trial	m	m	M	0.824	1
110.075	n/a	categorize_trial	v	v	X	0.675	1
112.577	n/a	categorize_trial	v	v	X	1.876	1
115.08	n/a	categorize_trial	m	m	M	0.665	1
117.586	n/a	categorize_trial	m	m	M	0.579	1
120.089	n/a	categorize_trial	m	v	X	0.677	0
122.591	n/a	categorize_trial	m	m	M	0.782	1
125.094	n/a	categorize_trial	v	v	X	0.788	1
127.596	n/a	categorize_trial	v	v	X	1.363	1
130.103	n/a	categorize_trial	v	v	X	0.694	1
132.605	n/a	categorize_trial	m	m	M	0.536	1
137.614	n/a	categorize_trial	m	m	M	0.751	1
140.117	n/a	categorize_trial	v	v	X	1.05	1
142.623	n/a	categorize_trial	m	m	M	0.485	1
145.126	n/a	categorize_trial	v	v	X	0.665	1
147.629	n/a	categorize_trial	m	m	M	1.025	1
150.135	n/a	categorize_trial	m	m	M	0.524	1
152.638	n/a	categorize_trial	v	v	X	0.566	1
155.14	n/a	categorize_trial	v	v	X	0.652	1
157.643	n/a	categorize_trial	v	v	X	0.731	1
160.145	n/a	categorize_trial	v	v	X	0.798	1
162.648	n/a	categorize_trial	v	v	X	0.748	1
165.154	n/a	categorize_trial	m	v	X	0.788	0
167.657	n/a	categorize_trial	v	v	X	1.276	1
170.159	n/a	categorize_trial	m	m	M	0.608	1
172.666	n/a	categorize_trial	m	m	M	0.569	1
175.168	n/a	categorize_trial	v	v	X	0.556	1
177.675	n/a	categorize_trial	m	m	M	0.948	1
180.177	n/a	categorize_trial	v	v	X	0.725	1
182.68	n/a	categorize_trial	v	v	X	0.574	1
185.186	n/a	categorize_trial	v	v	X	0.515	1
187.689	n/a	categorize_trial	m	m	M	0.523	1
190.191	n/a	categorize_trial	m	m	M	0.501	1
192.694	n/a	categorize_trial	m	m	M	0.638	1
195.197	n/a	categorize_trial	m	m	M	0.675	1
197.703	n/a	categorize_trial	v	v	X	0.671	1
200.21	n/a	categorize_trial	m	m	M	0.671	1
202.712	n/a	categorize_trial	m	m	M	0.631	1
205.219	n/a	categorize_trial	v	v	X	0.424	1
207.721	n/a	categorize_trial	m	m	M	0.743	1
210.228	n/a	categorize_trial	m	v	X	0.487	0
212.73	n/a	categorize_trial	m	m	M	0.517	1
215.233	n/a	categorize_trial	m	m	M	0.602	1
217.739	n/a	categorize_trial	m	m	M	0.508	1
220.242	n/a	categorize_trial	m	m	M	0.421	1
222.744	n/a	categorize_trial	v	v	X	0.726	1
225.247	n/a	categorize_trial	m	m	M	0.777	1
227.749	n/a	categorize_trial	v	v	X	0.508	1
230.256	n/a	categorize_trial	v	v	X	0.969	1
232.758	n/a	categorize_trial	m	m	M	0.552	1
235.261	n/a	categorize_trial	v	m	M	1.131	0
237.767	n/a	categorize_trial	v	v	X	0.623	1
240.27	n/a	categorize_trial	m	m	M	0.675	1
242.776	n/a	categorize_trial	v	v	X	0.693	1
