onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
60.0	n/a	categorize_trial	m	m	M	0.629	1
63.002	n/a	categorize_trial	v	m	M	0.539	0
66.008	n/a	categorize_trial	v	v	X	0.885	1
69.014	n/a	categorize_trial	m	m	M	0.567	1
72.02	n/a	categorize_trial	m	v	X	1.329	0
75.023	n/a	categorize_trial	v	v	X	0.735	1
78.029	n/a	categorize_trial	v	v	X	1.169	1
81.035	n/a	categorize_trial	v	v	X	0.715	1
84.037	n/a	categorize_trial	v	v	X	0.641	1
87.039	n/a	categorize_trial	m	m	M	0.59	1
90.045	n/a	categorize_trial	v	v	X	0.696	1
93.051	n/a	categorize_trial	m	m	M	0.962	1
96.053	n/a	categorize_trial	m	m	M	0.448	1
99.06	n/a	categorize_trial	v	v	X	0.634	1
102.062	n/a	categorize_trial	v	v	X	0.968	1
105.068	n/a	categorize_trial	m	m	M	0.72	1
108.074	n/a	categorize_trial	v	v	X	0.98	1
111.076	n/a	categorize_trial	v	v	X	0.641	1
114.082	n/a	categorize_trial	m	m	M	0.539	1
117.084	n/a	categorize_trial	m	v	X	0.737	0
120.09	n/a	categorize_trial	m	m	M	0.595	1
123.096	n/a	categorize_trial	m	m	M	0.773	1
126.099	n/a	categorize_trial	v	v	X	1.771	1
129.105	n/a	categorize_trial	m	m	M	0.709	1
132.111	n/a	categorize_trial	v	v	X	1.591	1
135.113	n/a	categorize_trial	m	v	X	1.029	0
138.119	n/a	categorize_trial	m	m	M	1.19	1
141.125	n/a	categorize_trial	m	m	M	1.36	1
144.127	n/a	categorize_trial	m	m	M	0.494	1
147.133	n/a	categorize_trial	v	v	X	0.864	1
150.136	n/a	categorize_trial	m	m	M	2.118	1
153.142	n/a	categorize_trial	v	v	X	0.736	1
156.144	n/a	categorize_trial	v	v	X	0.766	1
159.15	n/a	categorize_trial	m	m	M	1.497	1
162.152	n/a	categorize_trial	v	v	X	1.229	1
165.158	n/a	categorize_trial	v	m	M	0.943	0
168.164	n/a	categorize_trial	m	m	M	1.073	1
171.17	n/a	categorize_trial	v	v	X	0.723	1
174.172	n/a	categorize_trial	m	m	M	0.761	1
177.179	n/a	categorize_trial	v	v	X	1.907	1
180.181	n/a	categorize_trial	v	v	X	0.657	1
183.187	n/a	categorize_trial	v	v	X	0.755	1
186.193	n/a	categorize_trial	v	v	X	0.549	1
189.195	n/a	categorize_trial	m	m	M	0.826	1
192.201	n/a	categorize_trial	v	v	X	0.692	1
195.207	n/a	categorize_trial	m	m	M	0.99	1
198.209	n/a	categorize_trial	m	m	M	1.116	1
201.215	n/a	categorize_trial	m	m	M	0.55	1
204.218	n/a	categorize_trial	v	v	X	0.74	1
207.224	n/a	categorize_trial	m	m	M	0.734	1
210.23	n/a	categorize_trial	v	v	X	0.784	1
213.232	n/a	categorize_trial	m	m	M	0.709	1
216.238	n/a	categorize_trial	m	m	M	0.615	1
219.244	n/a	categorize_trial	m	m	M	0.681	1
222.246	n/a	categorize_trial	m	m	M	0.551	1
225.252	n/a	categorize_trial	v	v	X	0.945	1
228.258	n/a	categorize_trial	v	m	M	0.467	0
231.261	n/a	categorize_trial	m	m	M	0.537	1
234.267	n/a	categorize_trial	m	m	M	0.603	1
237.273	n/a	categorize_trial	v	v	X	0.725	1
240.275	n/a	categorize_trial	v	v	X	0.682	1
243.281	n/a	categorize_trial	v	v	X	0.564	1
246.283	n/a	categorize_trial	m	m	M	0.994	1
249.289	n/a	categorize_trial	m	m	M	0.572	1
252.295	n/a	categorize_trial	v	v	X	0.67	1
255.298	n/a	categorize_trial	m	m	M	0.692	1
258.304	n/a	categorize_trial	m	m	M	0.687	1
261.306	n/a	categorize_trial	v	v	X	0.636	1
264.312	n/a	categorize_trial	v	v	X	1.014	1
267.318	n/a	categorize_trial	v	v	X	0.903	1
270.32	n/a	categorize_trial	m	m	M	0.661	1
273.326	n/a	categorize_trial	m	m	M	0.543	1
276.332	n/a	categorize_trial	v	v	X	0.609	1
279.335	n/a	categorize_trial	m	m	M	0.551	1
