name	type	units	sampling_frequency	contact_quality_mean
AF3	EEG	uV	128.0	3.94
F7	EEG	uV	128.0	3.94
F3	EEG	uV	128.0	3.94
FC5	EEG	uV	128.0	3.94
T7	EEG	uV	128.0	3.94
P7	EEG	uV	128.0	3.93
O1	EEG	uV	128.0	3.93
O2	EEG	uV	128.0	3.87
P8	EEG	uV	128.0	3.9
T8	EEG	uV	128.0	3.92
FC6	EEG	uV	128.0	3.93
F4	EEG	uV	128.0	3.93
F8	EEG	uV	128.0	3.94
AF4	EEG	uV	128.0	3.94
