onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
62.522	n/a	categorize_trial	v	v	X	0.898	1
65.028	n/a	categorize_trial	m	m	M	1.035	1
67.551	n/a	categorize_trial	m	m	M	0.681	1
70.065	n/a	categorize_trial	m	v	X	0.983	0
72.579	n/a	categorize_trial	v	v	X	0.998	1
75.101	n/a	categorize_trial	m	v	X	1.398	0
80.13	n/a	categorize_trial	v	v	X	0.756	1
82.652	n/a	categorize_trial	v	m	M	1.206	0
85.181	n/a	categorize_trial	m	m	M	0.835	1
87.703	n/a	categorize_trial	m	m	M	0.658	1
90.225	n/a	categorize_trial	m	m	M	0.681	1
92.74	n/a	categorize_trial	v	v	X	1.383	1
95.262	n/a	categorize_trial	v	v	X	1.629	1
97.768	n/a	categorize_trial	m	m	M	1.542	1
100.29	n/a	categorize_trial	v	v	X	0.955	1
102.812	n/a	categorize_trial	m	m	M	0.804	1
105.327	n/a	categorize_trial	m	m	M	0.988	1
110.378	n/a	categorize_trial	v	v	X	1.171	1
112.9	n/a	categorize_trial	m	m	M	1.308	1
115.43	n/a	categorize_trial	m	m	M	1.204	1
117.952	n/a	categorize_trial	v	v	X	1.009	1
120.482	n/a	categorize_trial	v	v	X	1.513	1
122.996	n/a	categorize_trial	m	m	M	0.761	1
125.518	n/a	categorize_trial	m	m	M	0.929	1
128.041	n/a	categorize_trial	m	m	M	0.68	1
130.563	n/a	categorize_trial	v	v	X	0.99	1
133.085	n/a	categorize_trial	m	m	M	1.103	1
135.607	n/a	categorize_trial	v	v	X	1.229	1
138.121	n/a	categorize_trial	v	v	X	1.203	1
140.651	n/a	categorize_trial	m	m	M	1.228	1
143.173	n/a	categorize_trial	v	v	X	1.009	1
145.687	n/a	categorize_trial	v	v	X	1.161	1
148.201	n/a	categorize_trial	m	m	M	0.833	1
150.723	n/a	categorize_trial	v	v	X	1.087	1
153.245	n/a	categorize_trial	m	m	M	0.783	1
155.767	n/a	categorize_trial	v	v	X	0.725	1
158.297	n/a	categorize_trial	m	m	M	0.605	1
160.811	n/a	categorize_trial	v	v	X	1.364	1
163.326	n/a	categorize_trial	m	m	M	0.691	1
165.84	n/a	categorize_trial	m	m	M	0.795	1
168.378	n/a	categorize_trial	m	m	M	1.348	1
170.892	n/a	categorize_trial	v	v	X	0.72	1
173.414	n/a	categorize_trial	v	m	M	1.466	0
175.928	n/a	categorize_trial	m	m	M	0.936	1
178.442	n/a	categorize_trial	m	m	M	1.153	1
180.964	n/a	categorize_trial	v	v	X	0.918	1
183.479	n/a	categorize_trial	v	v	X	1.759	1
185.993	n/a	categorize_trial	m	m	M	0.693	1
188.507	n/a	categorize_trial	v	m	M	0.836	0
191.037	n/a	categorize_trial	m	m	M	1.473	1
193.551	n/a	categorize_trial	m	m	M	0.728	1
196.065	n/a	categorize_trial	m	m	M	0.711	1
198.587	n/a	categorize_trial	m	m	M	0.614	1
201.102	n/a	categorize_trial	m	m	M	0.852	1
203.608	n/a	categorize_trial	m	m	M	0.698	1
206.122	n/a	categorize_trial	v	v	X	0.912	1
208.652	n/a	categorize_trial	v	v	X	1.24	1
211.182	n/a	categorize_trial	v	m	M	1.192	0
213.704	n/a	categorize_trial	m	m	M	1.207	1
216.218	n/a	categorize_trial	m	m	M	0.951	1
218.74	n/a	categorize_trial	v	v	X	1.085	1
221.262	n/a	categorize_trial	v	m	M	1.062	0
223.785	n/a	categorize_trial	v	v	X	1.364	1
226.307	n/a	categorize_trial	v	v	X	1.684	1
228.821	n/a	categorize_trial	v	v	X	0.809	1
231.335	n/a	categorize_trial	v	v	X	0.808	1
233.873	n/a	categorize_trial	m	m	M	0.995	1
236.395	n/a	categorize_trial	m	m	M	0.714	1
238.917	n/a	categorize_trial	v	v	X	0.848	1
241.439	n/a	categorize_trial	v	m	M	1.49	0
243.961	n/a	categorize_trial	m	m	M	0.864	1
