onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
60.0	n/a	categorize_trial	m	m	M	1.527	1
62.522	n/a	categorize_trial	v	v	X	0.993	1
65.044	n/a	categorize_trial	m	m	M	0.923	1
67.566	n/a	categorize_trial	v	m	M	1.319	0
70.073	n/a	categorize_trial	v	v	X	0.793	1
72.587	n/a	categorize_trial	m	m	M	0.918	1
75.109	n/a	categorize_trial	m	m	M	0.998	1
77.623	n/a	categorize_trial	v	v	X	1.064	1
80.137	n/a	categorize_trial	m	m	M	0.68	1
82.644	n/a	categorize_trial	m	m	M	0.985	1
85.15	n/a	categorize_trial	v	m	M	1.486	0
87.657	n/a	categorize_trial	m	m	M	0.727	1
90.179	n/a	categorize_trial	m	m	M	0.935	1
92.701	n/a	categorize_trial	m	m	M	0.911	1
95.231	n/a	categorize_trial	v	v	X	0.9	1
97.745	n/a	categorize_trial	v	v	X	0.794	1
100.259	n/a	categorize_trial	m	v	X	1.279	0
102.774	n/a	categorize_trial	v	m	M	0.798	0
105.28	n/a	categorize_trial	v	v	X	0.705	1
107.794	n/a	categorize_trial	v	m	M	0.719	0
110.309	n/a	categorize_trial	v	v	X	0.83	1
112.823	n/a	categorize_trial	m	m	M	1.465	1
115.337	n/a	categorize_trial	m	m	M	0.841	1
117.875	n/a	categorize_trial	v	v	X	0.846	1
120.389	n/a	categorize_trial	m	m	M	0.731	1
122.903	n/a	categorize_trial	m	m	M	0.97	1
125.418	n/a	categorize_trial	m	m	M	0.645	1
127.932	n/a	categorize_trial	m	m	M	0.517	1
130.446	n/a	categorize_trial	v	v	X	0.642	1
132.96	n/a	categorize_trial	v	v	X	0.812	1
135.49	n/a	categorize_trial	m	m	M	0.75	1
138.012	n/a	categorize_trial	v	v	X	0.635	1
140.534	n/a	categorize_trial	v	v	X	0.716	1
143.056	n/a	categorize_trial	m	v	X	1.126	0
145.578	n/a	categorize_trial	m	v	X	0.891	0
148.093	n/a	categorize_trial	v	v	X	0.702	1
150.63	n/a	categorize_trial	v	m	M	0.587	0
153.137	n/a	categorize_trial	m	v	X	1.719	0
155.643	n/a	categorize_trial	v	v	X	1.761	1
158.158	n/a	categorize_trial	v	v	X	0.665	1
160.687	n/a	categorize_trial	v	v	X	0.602	1
163.194	n/a	categorize_trial	v	v	X	0.54	1
165.716	n/a	categorize_trial	m	v	X	0.905	0
168.238	n/a	categorize_trial	m	m	M	0.604	1
170.752	n/a	categorize_trial	v	v	X	0.639	1
173.274	n/a	categorize_trial	m	m	M	0.652	1
175.789	n/a	categorize_trial	m	v	X	0.628	0
178.303	n/a	categorize_trial	v	v	X	0.874	1
180.825	n/a	categorize_trial	v	v	X	0.698	1
183.339	n/a	categorize_trial	m	m	M	0.779	1
185.853	n/a	categorize_trial	m	m	M	0.582	1
188.36	n/a	categorize_trial	v	v	X	0.716	1
190.882	n/a	categorize_trial	m	m	M	0.833	1
193.396	n/a	categorize_trial	v	v	X	0.772	1
195.903	n/a	categorize_trial	m	m	M	0.831	1
198.44	n/a	categorize_trial	v	v	X	0.633	1
200.947	n/a	categorize_trial	v	v	X	0.669	1
203.477	n/a	categorize_trial	m	m	M	0.554	1
205.999	n/a	categorize_trial	m	m	M	0.597	1
208.513	n/a	categorize_trial	v	v	X	0.639	1
211.035	n/a	categorize_trial	v	m	M	0.517	0
213.541	n/a	categorize_trial	v	v	X	0.681	1
216.056	n/a	categorize_trial	v	v	X	0.859	1
218.562	n/a	categorize_trial	m	m	M	0.55	1
221.084	n/a	categorize_trial	m	m	M	0.713	1
223.598	n/a	categorize_trial	v	v	X	0.621	1
226.113	n/a	categorize_trial	m	m	M	0.83	1
228.619	n/a	categorize_trial	v	v	X	0.722	1
231.133	n/a	categorize_trial	v	v	X	0.729	1
233.648	n/a	categorize_trial	m	m	M	0.772	1
236.162	n/a	categorize_trial	m	m	M	0.928	1
238.684	n/a	categorize_trial	m	v	X	0.76	0
241.198	n/a	categorize_trial	m	m	M	0.578	1
243.728	n/a	categorize_trial	m	m	M	0.568	1
