onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
60.0	n/a	categorize_trial	v	m	M	1.496	0
62.506	n/a	categorize_trial	v	v	X	0.705	1
65.013	n/a	categorize_trial	m	v	X	1.093	0
67.518	n/a	categorize_trial	v	v	X	0.99	1
70.018	n/a	categorize_trial	v	v	X	0.958	1
72.524	n/a	categorize_trial	v	v	X	0.842	1
75.03	n/a	categorize_trial	m	v	X	1.029	0
77.53	n/a	categorize_trial	m	m	M	0.991	1
80.035	n/a	categorize_trial	m	m	M	0.935	1
82.542	n/a	categorize_trial	v	v	X	1.139	1
85.04	n/a	categorize_trial	m	m	M	1.239	1
87.547	n/a	categorize_trial	m	m	M	1.311	1
90.054	n/a	categorize_trial	m	m	M	0.739	1
92.559	n/a	categorize_trial	v	v	X	0.799	1
95.058	n/a	categorize_trial	m	m	M	0.755	1
97.565	n/a	categorize_trial	m	m	M	0.593	1
100.07	n/a	categorize_trial	m	m	M	0.48	1
102.577	n/a	categorize_trial	v	v	X	0.658	1
105.083	n/a	categorize_trial	v	v	X	0.683	1
107.583	n/a	categorize_trial	m	m	M	0.902	1
110.088	n/a	categorize_trial	v	v	X	0.921	1
112.594	n/a	categorize_trial	v	v	X	1.075	1
117.6	n/a	categorize_trial	v	v	X	0.95	1
120.106	n/a	categorize_trial	m	v	X	0.801	0
122.611	n/a	categorize_trial	m	v	X	0.761	0
125.111	n/a	categorize_trial	m	v	X	0.75	0
127.616	n/a	categorize_trial	v	v	X	0.79	1
130.124	n/a	categorize_trial	m	m	M	0.736	1
132.631	n/a	categorize_trial	m	v	X	1.045	0
135.128	n/a	categorize_trial	v	v	X	0.706	1
137.635	n/a	categorize_trial	v	v	X	0.686	1
140.142	n/a	categorize_trial	v	v	X	0.668	1
142.647	n/a	categorize_trial	v	m	M	0.811	0
145.146	n/a	categorize_trial	m	m	M	0.725	1
147.651	n/a	categorize_trial	m	m	M	0.575	1
150.16	n/a	categorize_trial	v	m	M	0.875	0
152.665	n/a	categorize_trial	m	m	M	0.534	1
155.172	n/a	categorize_trial	m	m	M	0.697	1
157.67	n/a	categorize_trial	v	v	X	0.581	1
160.176	n/a	categorize_trial	v	v	X	0.635	1
162.683	n/a	categorize_trial	m	m	M	0.881	1
165.188	n/a	categorize_trial	m	m	M	0.588	1
167.688	n/a	categorize_trial	m	m	M	1.048	1
170.193	n/a	categorize_trial	v	v	X	0.843	1
172.701	n/a	categorize_trial	v	v	X	0.629	1
175.208	n/a	categorize_trial	m	m	M	0.799	1
177.712	n/a	categorize_trial	v	v	X	0.848	1
180.211	n/a	categorize_trial	v	v	X	0.685	1
182.717	n/a	categorize_trial	v	v	X	0.649	1
185.216	n/a	categorize_trial	m	m	M	0.652	1
187.723	n/a	categorize_trial	v	v	X	0.71	1
190.228	n/a	categorize_trial	v	v	X	0.609	1
192.728	n/a	categorize_trial	m	m	M	0.631	1
195.233	n/a	categorize_trial	v	m	M	0.765	0
197.74	n/a	categorize_trial	m	m	M	0.68	1
200.238	n/a	categorize_trial	v	v	X	0.632	1
202.745	n/a	categorize_trial	v	v	X	0.756	1
205.252	n/a	categorize_trial	m	m	M	0.561	1
207.758	n/a	categorize_trial	m	m	M	0.56	1
210.256	n/a	categorize_trial	v	v	X	0.739	1
212.762	n/a	categorize_trial	m	m	M	0.706	1
215.269	n/a	categorize_trial	v	v	X	0.605	1
217.768	n/a	categorize_trial	m	m	M	0.73	1
220.273	n/a	categorize_trial	m	m	M	0.661	1
222.772	n/a	categorize_trial	m	m	M	0.738	1
225.279	n/a	categorize_trial	m	m	M	0.524	1
227.785	n/a	categorize_trial	v	m	M	0.729	0
230.292	n/a	categorize_trial	m	m	M	0.596	1
232.79	n/a	categorize_trial	v	v	X	0.715	1
235.297	n/a	categorize_trial	v	m	M	1.09	0
237.803	n/a	categorize_trial	v	v	X	0.711	1
240.308	n/a	categorize_trial	m	m	M	0.572	1
242.808	n/a	categorize_trial	m	m	M	0.405	1
