onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
63.03	n/a	categorize_trial	m	m	M	1.097	1
66.051	n/a	categorize_trial	m	m	M	0.629	1
69.073	n/a	categorize_trial	v	v	X	0.71	1
72.087	n/a	categorize_trial	v	v	X	0.604	1
75.101	n/a	categorize_trial	m	m	M	0.587	1
78.131	n/a	categorize_trial	v	v	X	0.92	1
81.152	n/a	categorize_trial	v	m	M	1.21	0
84.182	n/a	categorize_trial	m	m	M	1.142	1
87.204	n/a	categorize_trial	v	v	X	1.339	1
90.226	n/a	categorize_trial	m	m	M	0.555	1
93.232	n/a	categorize_trial	m	m	M	0.53	1
96.253	n/a	categorize_trial	v	v	X	0.636	1
99.267	n/a	categorize_trial	v	v	X	0.717	1
102.274	n/a	categorize_trial	m	m	M	0.634	1
105.288	n/a	categorize_trial	m	m	M	0.523	1
108.302	n/a	categorize_trial	m	m	M	0.514	1
111.323	n/a	categorize_trial	v	v	X	0.823	1
114.353	n/a	categorize_trial	v	v	X	0.603	1
117.359	n/a	categorize_trial	m	m	M	0.494	1
120.381	n/a	categorize_trial	m	m	M	0.514	1
123.387	n/a	categorize_trial	m	m	M	0.558	1
126.417	n/a	categorize_trial	m	v	X	0.614	0
129.438	n/a	categorize_trial	v	m	M	1.002	0
132.468	n/a	categorize_trial	v	v	X	1.026	1
135.474	n/a	categorize_trial	m	m	M	0.585	1
138.496	n/a	categorize_trial	m	m	M	0.676	1
141.525	n/a	categorize_trial	v	v	X	0.605	1
144.539	n/a	categorize_trial	v	v	X	0.514	1
147.553	n/a	categorize_trial	m	m	M	0.599	1
150.575	n/a	categorize_trial	v	v	X	0.779	1
153.597	n/a	categorize_trial	m	m	M	0.653	1
156.619	n/a	categorize_trial	m	m	M	0.416	1
159.633	n/a	categorize_trial	v	v	X	0.714	1
162.654	n/a	categorize_trial	m	m	M	0.857	1
165.676	n/a	categorize_trial	v	v	X	0.583	1
168.706	n/a	categorize_trial	v	v	X	0.623	1
171.735	n/a	categorize_trial	m	m	M	0.607	1
174.741	n/a	categorize_trial	m	m	M	0.525	1
177.755	n/a	categorize_trial	m	m	M	0.456	1
180.793	n/a	categorize_trial	v	v	X	0.582	1
183.799	n/a	categorize_trial	m	m	M	0.449	1
186.821	n/a	categorize_trial	m	m	M	0.61	1
189.843	n/a	categorize_trial	v	v	X	0.697	1
192.864	n/a	categorize_trial	m	m	M	0.54	1
195.878	n/a	categorize_trial	m	m	M	0.693	1
198.9	n/a	categorize_trial	v	v	X	0.745	1
201.93	n/a	categorize_trial	v	v	X	0.604	1
204.951	n/a	categorize_trial	v	v	X	0.58	1
207.965	n/a	categorize_trial	m	m	M	0.47	1
210.995	n/a	categorize_trial	m	m	M	0.501	1
214.025	n/a	categorize_trial	v	v	X	0.484	1
217.039	n/a	categorize_trial	v	v	X	0.627	1
220.06	n/a	categorize_trial	v	v	X	0.544	1
223.09	n/a	categorize_trial	m	m	M	0.49	1
226.119	n/a	categorize_trial	m	m	M	0.688	1
229.133	n/a	categorize_trial	v	v	X	0.489	1
232.155	n/a	categorize_trial	v	v	X	0.618	1
235.177	n/a	categorize_trial	v	v	X	0.63	1
238.207	n/a	categorize_trial	m	m	M	0.602	1
241.22	n/a	categorize_trial	v	v	X	0.857	1
244.25	n/a	categorize_trial	m	m	M	0.586	1
247.264	n/a	categorize_trial	m	m	M	0.511	1
250.286	n/a	categorize_trial	v	v	X	0.66	1
253.308	n/a	categorize_trial	m	m	M	0.605	1
256.329	n/a	categorize_trial	v	v	X	0.609	1
259.351	n/a	categorize_trial	m	m	M	0.583	1
262.373	n/a	categorize_trial	v	v	X	0.681	1
265.395	n/a	categorize_trial	v	v	X	0.657	1
268.416	n/a	categorize_trial	m	m	M	0.652	1
271.438	n/a	categorize_trial	m	m	M	0.473	1
274.46	n/a	categorize_trial	v	v	X	0.613	1
277.482	n/a	categorize_trial	v	v	X	0.884	1
280.488	n/a	categorize_trial	m	m	M	0.533	1
