onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
60.008	n/a	categorize_trial	v	v	X	1.374	1
63.014	n/a	categorize_trial	v	v	X	0.912	1
66.02	n/a	categorize_trial	m	m	M	0.862	1
69.026	n/a	categorize_trial	m	m	M	0.68	1
72.032	n/a	categorize_trial	m	m	M	1.635	1
75.039	n/a	categorize_trial	v	v	X	1.554	1
78.045	n/a	categorize_trial	m	m	M	1.226	1
81.043	n/a	categorize_trial	m	m	M	0.794	1
84.049	n/a	categorize_trial	m	m	M	0.712	1
87.063	n/a	categorize_trial	m	m	M	0.823	1
90.069	n/a	categorize_trial	m	m	M	0.587	1
93.068	n/a	categorize_trial	m	m	M	0.605	1
96.074	n/a	categorize_trial	m	m	M	0.578	1
99.08	n/a	categorize_trial	m	m	M	0.938	1
102.094	n/a	categorize_trial	v	v	X	1.139	1
105.1	n/a	categorize_trial	m	m	M	0.949	1
108.099	n/a	categorize_trial	v	v	X	1.238	1
111.112	n/a	categorize_trial	v	v	X	1.01	1
114.119	n/a	categorize_trial	v	v	X	0.814	1
117.125	n/a	categorize_trial	v	v	X	2.128	1
120.131	n/a	categorize_trial	m	m	M	0.856	1
123.137	n/a	categorize_trial	v	v	X	0.752	1
126.143	n/a	categorize_trial	v	v	X	0.693	1
129.149	n/a	categorize_trial	m	m	M	0.768	1
132.156	n/a	categorize_trial	v	v	X	0.688	1
135.162	n/a	categorize_trial	v	v	X	0.81	1
138.168	n/a	categorize_trial	v	v	X	0.818	1
141.174	n/a	categorize_trial	m	m	M	0.962	1
144.172	n/a	categorize_trial	v	v	X	1.047	1
147.179	n/a	categorize_trial	v	v	X	0.763	1
150.193	n/a	categorize_trial	v	v	X	0.742	1
153.199	n/a	categorize_trial	v	v	X	0.818	1
156.197	n/a	categorize_trial	v	v	X	0.701	1
159.203	n/a	categorize_trial	m	m	M	0.596	1
162.209	n/a	categorize_trial	m	m	M	0.899	1
165.223	n/a	categorize_trial	m	v	X	0.756	0
168.222	n/a	categorize_trial	m	m	M	0.892	1
171.228	n/a	categorize_trial	v	v	X	0.699	1
174.234	n/a	categorize_trial	v	m	M	1.049	0
177.24	n/a	categorize_trial	m	m	M	0.717	1
180.246	n/a	categorize_trial	v	v	X	0.636	1
183.252	n/a	categorize_trial	v	v	X	0.712	1
186.259	n/a	categorize_trial	m	m	M	0.9	1
189.273	n/a	categorize_trial	v	v	X	0.7	1
192.279	n/a	categorize_trial	m	m	M	0.935	1
195.277	n/a	categorize_trial	m	m	M	0.614	1
198.283	n/a	categorize_trial	v	v	X	0.825	1
201.289	n/a	categorize_trial	m	m	M	0.699	1
204.296	n/a	categorize_trial	v	v	X	0.685	1
207.302	n/a	categorize_trial	v	v	X	0.671	1
210.316	n/a	categorize_trial	v	v	X	0.693	1
213.322	n/a	categorize_trial	v	v	X	0.703	1
216.328	n/a	categorize_trial	v	v	X	0.531	1
219.326	n/a	categorize_trial	m	v	X	1.382	0
222.333	n/a	categorize_trial	m	m	M	0.782	1
225.339	n/a	categorize_trial	v	v	X	0.748	1
228.345	n/a	categorize_trial	m	m	M	0.643	1
231.351	n/a	categorize_trial	m	m	M	0.675	1
234.357	n/a	categorize_trial	m	m	M	0.683	1
237.363	n/a	categorize_trial	m	m	M	0.671	1
240.369	n/a	categorize_trial	m	m	M	0.669	1
243.376	n/a	categorize_trial	v	v	X	0.732	1
246.382	n/a	categorize_trial	m	m	M	0.653	1
249.388	n/a	categorize_trial	m	m	M	1.268	1
252.394	n/a	categorize_trial	v	v	X	0.692	1
255.4	n/a	categorize_trial	m	m	M	0.699	1
258.399	n/a	categorize_trial	m	m	M	0.919	1
261.405	n/a	categorize_trial	m	m	M	0.909	1
264.411	n/a	categorize_trial	v	v	X	0.78	1
267.417	n/a	categorize_trial	m	m	M	1.734	1
270.423	n/a	categorize_trial	v	v	X	1.563	1
273.429	n/a	categorize_trial	v	v	X	0.85	1
276.428	n/a	categorize_trial	m	m	M	0.69	1
279.434	n/a	categorize_trial	v	v	X	0.675	1
