onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
60.0	n/a	categorize_trial	m	m	M	1.454	1
63.006	n/a	categorize_trial	m	m	M	0.559	1
66.012	n/a	categorize_trial	m	m	M	0.747	1
69.019	n/a	categorize_trial	v	v	X	0.842	1
72.025	n/a	categorize_trial	m	v	X	1.166	0
75.023	n/a	categorize_trial	m	m	M	1.078	1
78.029	n/a	categorize_trial	m	m	M	0.929	1
81.035	n/a	categorize_trial	v	m	M	0.809	0
84.042	n/a	categorize_trial	m	m	M	1.173	1
87.048	n/a	categorize_trial	m	m	M	0.928	1
90.046	n/a	categorize_trial	m	m	M	0.751	1
93.052	n/a	categorize_trial	v	v	X	0.884	1
96.059	n/a	categorize_trial	v	v	X	0.662	1
99.065	n/a	categorize_trial	m	m	M	0.859	1
102.071	n/a	categorize_trial	m	m	M	0.675	1
105.077	n/a	categorize_trial	v	m	M	0.82	0
108.083	n/a	categorize_trial	m	m	M	0.699	1
111.082	n/a	categorize_trial	v	v	X	0.655	1
114.088	n/a	categorize_trial	v	v	X	0.776	1
117.094	n/a	categorize_trial	v	v	X	0.626	1
120.1	n/a	categorize_trial	m	m	M	0.703	1
123.106	n/a	categorize_trial	v	v	X	0.688	1
126.112	n/a	categorize_trial	v	v	X	0.871	1
129.111	n/a	categorize_trial	m	m	M	1.102	1
132.117	n/a	categorize_trial	m	m	M	1.063	1
135.123	n/a	categorize_trial	m	v	X	1.128	0
138.122	n/a	categorize_trial	v	v	X	0.921	1
141.128	n/a	categorize_trial	v	m	M	1.249	0
144.134	n/a	categorize_trial	v	m	M	1.474	0
147.14	n/a	categorize_trial	m	m	M	0.864	1
150.146	n/a	categorize_trial	v	v	X	1.213	1
153.145	n/a	categorize_trial	v	v	X	0.976	1
156.151	n/a	categorize_trial	v	m	M	0.972	0
159.157	n/a	categorize_trial	m	m	M	1.176	1
162.163	n/a	categorize_trial	m	m	M	0.747	1
165.162	n/a	categorize_trial	v	m	M	1.5	0
168.168	n/a	categorize_trial	v	v	X	1.143	1
171.174	n/a	categorize_trial	v	v	X	0.698	1
174.18	n/a	categorize_trial	m	m	M	0.661	1
177.178	n/a	categorize_trial	m	m	M	0.718	1
180.185	n/a	categorize_trial	m	m	M	0.529	1
183.191	n/a	categorize_trial	m	m	M	0.557	1
186.189	n/a	categorize_trial	m	m	M	0.503	1
189.195	n/a	categorize_trial	m	m	M	1.205	1
192.201	n/a	categorize_trial	m	m	M	0.909	1
195.208	n/a	categorize_trial	v	v	X	0.902	1
198.206	n/a	categorize_trial	v	v	X	0.79	1
201.212	n/a	categorize_trial	m	m	M	1.441	1
204.218	n/a	categorize_trial	m	v	X	1.553	0
207.225	n/a	categorize_trial	m	m	M	1.429	1
210.231	n/a	categorize_trial	v	v	X	1.028	1
213.229	n/a	categorize_trial	v	v	X	0.716	1
216.235	n/a	categorize_trial	m	m	M	0.91	1
219.241	n/a	categorize_trial	v	v	X	0.818	1
222.248	n/a	categorize_trial	m	m	M	0.838	1
225.254	n/a	categorize_trial	m	m	M	0.72	1
228.26	n/a	categorize_trial	m	m	M	0.739	1
231.258	n/a	categorize_trial	m	m	M	0.774	1
234.265	n/a	categorize_trial	v	v	X	1.034	1
237.271	n/a	categorize_trial	v	v	X	0.703	1
240.277	n/a	categorize_trial	v	m	M	0.805	0
243.275	n/a	categorize_trial	m	m	M	0.784	1
246.281	n/a	categorize_trial	v	m	M	0.977	0
249.288	n/a	categorize_trial	v	v	X	0.902	1
252.294	n/a	categorize_trial	v	v	X	0.885	1
255.3	n/a	categorize_trial	m	m	M	0.675	1
258.298	n/a	categorize_trial	v	v	X	0.646	1
261.305	n/a	categorize_trial	v	v	X	0.588	1
264.311	n/a	categorize_trial	v	v	X	0.822	1
267.309	n/a	categorize_trial	m	v	X	0.657	0
270.315	n/a	categorize_trial	v	m	M	1.365	0
273.321	n/a	categorize_trial	v	v	X	0.768	1
276.328	n/a	categorize_trial	m	m	M	0.671	1
279.334	n/a	categorize_trial	v	v	X	0.662	1
