onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
63.006	n/a	categorize_trial	m	m	M	0.654	1
66.036	n/a	categorize_trial	m	v	X	0.953	0
69.042	n/a	categorize_trial	m	m	M	1.518	1
72.072	n/a	categorize_trial	m	m	M	1.102	1
75.086	n/a	categorize_trial	v	v	X	0.671	1
78.1	n/a	categorize_trial	v	v	X	0.573	1
81.121	n/a	categorize_trial	m	m	M	0.79	1
84.135	n/a	categorize_trial	v	m	M	1.301	0
87.157	n/a	categorize_trial	m	m	M	1.789	1
90.163	n/a	categorize_trial	v	m	M	1.794	0
93.17	n/a	categorize_trial	v	v	X	1.562	1
96.184	n/a	categorize_trial	v	v	X	1.474	1
99.198	n/a	categorize_trial	m	m	M	1.799	1
105.241	n/a	categorize_trial	v	v	X	1.008	1
108.255	n/a	categorize_trial	m	m	M	1.106	1
111.277	n/a	categorize_trial	v	v	X	1.695	1
114.291	n/a	categorize_trial	v	v	X	0.776	1
117.313	n/a	categorize_trial	m	m	M	1.219	1
120.335	n/a	categorize_trial	m	m	M	0.835	1
123.349	n/a	categorize_trial	v	v	X	1.019	1
126.363	n/a	categorize_trial	v	v	X	1.346	1
129.385	n/a	categorize_trial	v	v	X	1.567	1
132.406	n/a	categorize_trial	v	m	M	1.088	0
135.428	n/a	categorize_trial	m	m	M	0.973	1
138.442	n/a	categorize_trial	m	m	M	1.026	1
141.472	n/a	categorize_trial	m	m	M	0.805	1
144.486	n/a	categorize_trial	m	m	M	0.823	1
147.5	n/a	categorize_trial	v	v	X	1.028	1
150.529	n/a	categorize_trial	m	m	M	1.035	1
153.536	n/a	categorize_trial	v	v	X	1.514	1
156.557	n/a	categorize_trial	v	v	X	1.07	1
159.579	n/a	categorize_trial	m	m	M	0.631	1
162.585	n/a	categorize_trial	m	m	M	0.677	1
165.599	n/a	categorize_trial	m	m	M	0.604	1
168.621	n/a	categorize_trial	v	v	X	1.399	1
171.643	n/a	categorize_trial	m	m	M	0.759	1
174.657	n/a	categorize_trial	v	v	X	0.651	1
177.671	n/a	categorize_trial	v	v	X	1.368	1
180.685	n/a	categorize_trial	v	v	X	1.437	1
183.707	n/a	categorize_trial	m	m	M	0.743	1
186.729	n/a	categorize_trial	m	v	X	1.391	0
189.743	n/a	categorize_trial	m	m	M	1.731	1
192.757	n/a	categorize_trial	v	v	X	1.729	1
195.778	n/a	categorize_trial	m	m	M	1.21	1
198.792	n/a	categorize_trial	m	m	M	0.624	1
201.814	n/a	categorize_trial	v	v	X	0.895	1
204.828	n/a	categorize_trial	v	v	X	0.892	1
207.842	n/a	categorize_trial	v	v	X	1.308	1
210.864	n/a	categorize_trial	v	v	X	1.141	1
213.886	n/a	categorize_trial	m	m	M	0.923	1
216.908	n/a	categorize_trial	m	m	M	0.691	1
219.93	n/a	categorize_trial	v	v	X	0.667	1
222.951	n/a	categorize_trial	v	v	X	0.782	1
225.958	n/a	categorize_trial	m	m	M	0.627	1
228.972	n/a	categorize_trial	v	v	X	1.545	1
231.978	n/a	categorize_trial	m	m	M	0.859	1
235.0	n/a	categorize_trial	m	m	M	1.052	1
238.014	n/a	categorize_trial	m	m	M	1.723	1
241.028	n/a	categorize_trial	m	m	M	0.643	1
244.049	n/a	categorize_trial	m	m	M	0.648	1
247.063	n/a	categorize_trial	m	m	M	0.822	1
250.093	n/a	categorize_trial	v	v	X	0.773	1
253.099	n/a	categorize_trial	v	v	X	0.899	1
256.129	n/a	categorize_trial	v	v	X	0.946	1
259.135	n/a	categorize_trial	v	v	X	0.765	1
262.165	n/a	categorize_trial	v	v	X	0.666	1
265.179	n/a	categorize_trial	v	v	X	0.9	1
268.208	n/a	categorize_trial	v	v	X	0.948	1
271.222	n/a	categorize_trial	m	m	M	1.086	1
274.228	n/a	categorize_trial	m	m	M	0.845	1
277.258	n/a	categorize_trial	m	m	M	0.585	1
280.264	n/a	categorize_trial	m	m	M	0.419	1
