onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
60.0	n/a	categorize_trial	m	m	M	1.337	1
62.506	n/a	categorize_trial	v	v	X	1.018	1
65.013	n/a	categorize_trial	v	v	X	0.791	1
67.527	n/a	categorize_trial	v	v	X	1.014	1
70.034	n/a	categorize_trial	m	v	X	0.567	0
72.54	n/a	categorize_trial	m	m	M	0.664	1
75.046	n/a	categorize_trial	m	m	M	0.519	1
77.553	n/a	categorize_trial	m	m	M	0.544	1
80.067	n/a	categorize_trial	v	v	X	0.616	1
82.574	n/a	categorize_trial	m	m	M	0.532	1
85.08	n/a	categorize_trial	m	m	M	0.488	1
87.586	n/a	categorize_trial	m	m	M	0.574	1
90.093	n/a	categorize_trial	v	v	X	0.718	1
92.599	n/a	categorize_trial	m	m	M	0.562	1
95.106	n/a	categorize_trial	v	v	X	0.564	1
97.62	n/a	categorize_trial	m	m	M	0.692	1
100.126	n/a	categorize_trial	v	v	X	0.58	1
102.633	n/a	categorize_trial	v	m	M	0.551	0
105.139	n/a	categorize_trial	v	?	other	0.429	n/a
107.653	n/a	categorize_trial	v	v	X	0.657	1
110.16	n/a	categorize_trial	m	m	M	0.432	1
112.666	n/a	categorize_trial	m	m	M	0.559	1
115.173	n/a	categorize_trial	m	m	M	0.623	1
117.687	n/a	categorize_trial	v	v	X	0.723	1
120.193	n/a	categorize_trial	v	v	X	0.617	1
122.7	n/a	categorize_trial	v	v	X	0.817	1
125.206	n/a	categorize_trial	m	m	M	0.591	1
127.713	n/a	categorize_trial	v	m	M	0.492	0
130.219	n/a	categorize_trial	v	v	X	0.735	1
132.733	n/a	categorize_trial	v	m	M	0.548	0
135.24	n/a	categorize_trial	m	m	M	0.501	1
137.746	n/a	categorize_trial	m	v	X	0.616	0
140.253	n/a	categorize_trial	m	m	M	0.426	1
142.759	n/a	categorize_trial	v	v	X	0.521	1
145.273	n/a	categorize_trial	m	m	M	0.584	1
147.78	n/a	categorize_trial	m	m	M	0.693	1
150.286	n/a	categorize_trial	v	v	X	0.576	1
152.793	n/a	categorize_trial	m	m	M	1.084	1
155.299	n/a	categorize_trial	m	m	M	0.663	1
157.813	n/a	categorize_trial	v	v	X	0.567	1
160.32	n/a	categorize_trial	m	m	M	0.557	1
162.826	n/a	categorize_trial	m	m	M	0.809	1
165.333	n/a	categorize_trial	m	m	M	0.605	1
167.839	n/a	categorize_trial	m	m	M	0.476	1
170.345	n/a	categorize_trial	v	m	M	0.54	0
172.852	n/a	categorize_trial	v	v	X	0.606	1
175.358	n/a	categorize_trial	v	v	X	0.645	1
177.865	n/a	categorize_trial	m	m	M	0.659	1
180.379	n/a	categorize_trial	m	v	X	0.565	0
182.885	n/a	categorize_trial	m	v	X	0.582	0
185.392	n/a	categorize_trial	v	m	M	0.757	0
187.898	n/a	categorize_trial	v	v	X	0.621	1
190.405	n/a	categorize_trial	v	v	X	0.66	1
192.911	n/a	categorize_trial	v	v	X	0.729	1
195.418	n/a	categorize_trial	v	v	X	0.662	1
197.924	n/a	categorize_trial	v	v	X	0.548	1
200.43	n/a	categorize_trial	m	m	M	0.748	1
202.937	n/a	categorize_trial	v	v	X	0.551	1
205.451	n/a	categorize_trial	m	m	M	0.572	1
207.958	n/a	categorize_trial	v	v	X	0.683	1
210.464	n/a	categorize_trial	m	m	M	0.625	1
212.97	n/a	categorize_trial	v	v	X	0.503	1
215.477	n/a	categorize_trial	v	v	X	0.623	1
217.991	n/a	categorize_trial	m	v	X	0.695	0
220.498	n/a	categorize_trial	v	v	X	0.541	1
223.004	n/a	categorize_trial	m	m	M	0.542	1
225.51	n/a	categorize_trial	v	v	X	0.555	1
228.017	n/a	categorize_trial	m	m	M	0.65	1
230.531	n/a	categorize_trial	m	v	X	0.488	0
233.038	n/a	categorize_trial	v	v	X	1.048	1
235.552	n/a	categorize_trial	m	m	M	0.599	1
238.058	n/a	categorize_trial	m	m	M	0.687	1
240.565	n/a	categorize_trial	v	v	X	0.513	1
243.071	n/a	categorize_trial	m	m	M	0.857	1
