onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
60.0	n/a	categorize_trial	v	v	X	1.711	1
63.026	n/a	categorize_trial	v	m	M	0.804	0
66.055	n/a	categorize_trial	v	m	M	1.374	0
69.069	n/a	categorize_trial	v	v	X	1.72	1
72.091	n/a	categorize_trial	v	v	X	0.882	1
75.117	n/a	categorize_trial	v	v	X	1.209	1
78.139	n/a	categorize_trial	m	m	M	0.811	1
81.153	n/a	categorize_trial	v	v	X	0.869	1
84.186	n/a	categorize_trial	m	m	M	1.171	1
87.212	n/a	categorize_trial	m	m	M	0.906	1
90.23	n/a	categorize_trial	v	v	X	0.752	1
93.244	n/a	categorize_trial	m	v	X	0.898	0
96.25	n/a	categorize_trial	v	v	X	1.916	1
99.26	n/a	categorize_trial	m	v	X	1.209	0
102.29	n/a	categorize_trial	m	m	M	0.964	1
105.308	n/a	categorize_trial	m	m	M	0.834	1
108.326	n/a	categorize_trial	v	v	X	0.847	1
111.351	n/a	categorize_trial	m	m	M	1.182	1
114.369	n/a	categorize_trial	v	m	M	0.891	0
117.395	n/a	categorize_trial	m	m	M	1.035	1
120.417	n/a	categorize_trial	m	v	X	1.429	0
123.439	n/a	categorize_trial	v	v	X	2.366	1
126.453	n/a	categorize_trial	m	v	X	1.145	0
129.463	n/a	categorize_trial	v	v	X	1.966	1
135.479	n/a	categorize_trial	v	v	X	1.534	1
138.501	n/a	categorize_trial	m	m	M	0.953	1
141.515	n/a	categorize_trial	m	m	M	0.891	1
144.525	n/a	categorize_trial	m	v	X	0.936	0
147.547	n/a	categorize_trial	m	m	M	1.01	1
150.557	n/a	categorize_trial	m	m	M	0.809	1
153.575	n/a	categorize_trial	m	m	M	1.798	1
159.611	n/a	categorize_trial	m	m	M	1.146	1
162.632	n/a	categorize_trial	v	v	X	2.004	1
165.65	n/a	categorize_trial	v	m	M	1.162	0
168.688	n/a	categorize_trial	m	m	M	0.933	1
171.698	n/a	categorize_trial	v	v	X	0.987	1
174.727	n/a	categorize_trial	v	v	X	0.877	1
180.744	n/a	categorize_trial	v	v	X	0.989	1
183.762	n/a	categorize_trial	m	v	X	0.875	0
186.776	n/a	categorize_trial	m	m	M	0.773	1
189.794	n/a	categorize_trial	m	m	M	0.603	1
192.823	n/a	categorize_trial	m	m	M	0.613	1
195.837	n/a	categorize_trial	m	m	M	0.567	1
198.859	n/a	categorize_trial	v	m	M	2.226	0
201.869	n/a	categorize_trial	m	m	M	1.007	1
204.903	n/a	categorize_trial	m	m	M	0.878	1
207.917	n/a	categorize_trial	m	m	M	1.128	1
210.935	n/a	categorize_trial	m	m	M	0.702	1
213.96	n/a	categorize_trial	v	v	X	1.028	1
216.986	n/a	categorize_trial	m	m	M	0.971	1
220.012	n/a	categorize_trial	v	v	X	1.057	1
223.041	n/a	categorize_trial	m	m	M	0.771	1
226.067	n/a	categorize_trial	m	m	M	0.697	1
229.093	n/a	categorize_trial	v	v	X	1.031	1
232.107	n/a	categorize_trial	v	m	M	0.826	0
235.121	n/a	categorize_trial	m	m	M	0.852	1
238.139	n/a	categorize_trial	v	v	X	1.146	1
241.164	n/a	categorize_trial	v	v	X	0.864	1
244.182	n/a	categorize_trial	m	m	M	0.853	1
247.204	n/a	categorize_trial	v	v	X	1.063	1
250.226	n/a	categorize_trial	m	m	M	2.251	1
253.244	n/a	categorize_trial	v	v	X	1.921	1
256.258	n/a	categorize_trial	v	v	X	1.458	1
259.284	n/a	categorize_trial	m	m	M	0.76	1
262.309	n/a	categorize_trial	v	m	M	1.742	0
265.331	n/a	categorize_trial	m	m	M	1.345	1
268.349	n/a	categorize_trial	v	v	X	1.695	1
274.404	n/a	categorize_trial	m	m	M	0.928	1
277.418	n/a	categorize_trial	m	v	X	1.049	0
280.436	n/a	categorize_trial	v	m	M	0.919	0
