name	type	units	sampling_frequency	contact_quality_mean
AF3	EEG	uV	128.0	3.87
F7	EEG	uV	128.0	3.87
F3	EEG	uV	128.0	3.86
FC5	EEG	uV	128.0	3.87
T7	EEG	uV	128.0	3.86
P7	EEG	uV	128.0	3.86
O1	EEG	uV	128.0	3.88
O2	EEG	uV	128.0	3.88
P8	EEG	uV	128.0	3.87
T8	EEG	uV	128.0	3.87
FC6	EEG	uV	128.0	3.86
F4	EEG	uV	128.0	3.87
F8	EEG	uV	128.0	3.87
AF4	EEG	uV	128.0	3.87
