onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
63.01	n/a	categorize_trial	m	m	M	0.87	1
66.02	n/a	categorize_trial	v	v	X	1.353	1
69.039	n/a	categorize_trial	v	v	X	1.797	1
72.049	n/a	categorize_trial	m	m	M	0.883	1
75.075	n/a	categorize_trial	m	m	M	1.448	1
78.101	n/a	categorize_trial	m	m	M	0.931	1
81.119	n/a	categorize_trial	v	m	M	0.685	0
84.145	n/a	categorize_trial	m	m	M	1.064	1
87.147	n/a	categorize_trial	v	v	X	0.809	1
90.158	n/a	categorize_trial	v	v	X	1.063	1
93.199	n/a	categorize_trial	v	v	X	0.864	1
96.21	n/a	categorize_trial	m	m	M	0.716	1
99.228	n/a	categorize_trial	v	v	X	1.644	1
102.246	n/a	categorize_trial	v	v	X	0.709	1
105.256	n/a	categorize_trial	v	v	X	0.88	1
108.266	n/a	categorize_trial	v	v	X	1.06	1
111.284	n/a	categorize_trial	m	m	M	0.631	1
114.303	n/a	categorize_trial	v	v	X	1.057	1
117.321	n/a	categorize_trial	v	v	X	0.936	1
120.339	n/a	categorize_trial	v	v	X	0.941	1
123.396	n/a	categorize_trial	v	v	X	0.714	1
126.422	n/a	categorize_trial	v	v	X	1.404	1
129.44	n/a	categorize_trial	v	v	X	0.538	1
132.451	n/a	categorize_trial	m	m	M	0.643	1
135.461	n/a	categorize_trial	m	m	M	0.97	1
138.487	n/a	categorize_trial	m	m	M	0.669	1
141.505	n/a	categorize_trial	m	v	X	1.219	0
144.523	n/a	categorize_trial	m	m	M	1.436	1
147.541	n/a	categorize_trial	m	m	M	0.662	1
150.552	n/a	categorize_trial	m	m	M	1.298	1
153.578	n/a	categorize_trial	v	v	X	0.931	1
156.604	n/a	categorize_trial	m	m	M	0.695	1
159.614	n/a	categorize_trial	m	m	M	1.088	1
162.632	n/a	categorize_trial	m	m	M	0.661	1
165.674	n/a	categorize_trial	v	v	X	0.965	1
171.694	n/a	categorize_trial	v	v	X	1.244	1
174.712	n/a	categorize_trial	v	v	X	1.126	1
177.723	n/a	categorize_trial	v	m	M	1.391	0
180.741	n/a	categorize_trial	v	v	X	0.605	1
183.743	n/a	categorize_trial	v	v	X	0.888	1
186.753	n/a	categorize_trial	v	v	X	0.659	1
189.787	n/a	categorize_trial	v	v	X	0.575	1
192.813	n/a	categorize_trial	v	v	X	0.538	1
195.839	n/a	categorize_trial	m	m	M	0.697	1
198.849	n/a	categorize_trial	m	m	M	0.861	1
201.86	n/a	categorize_trial	m	m	M	0.688	1
204.886	n/a	categorize_trial	v	v	X	0.621	1
207.896	n/a	categorize_trial	m	m	M	0.644	1
210.922	n/a	categorize_trial	m	m	M	0.709	1
213.987	n/a	categorize_trial	v	v	X	0.655	1
217.005	n/a	categorize_trial	m	m	M	0.784	1
220.023	n/a	categorize_trial	m	m	M	0.633	1
223.034	n/a	categorize_trial	m	m	M	0.656	1
226.06	n/a	categorize_trial	v	v	X	1.031	1
229.078	n/a	categorize_trial	v	v	X	0.63	1
232.096	n/a	categorize_trial	m	m	M	0.685	1
235.122	n/a	categorize_trial	m	v	X	0.804	0
238.132	n/a	categorize_trial	m	m	M	1.444	1
241.15	n/a	categorize_trial	m	m	M	0.867	1
244.161	n/a	categorize_trial	m	m	M	0.689	1
247.194	n/a	categorize_trial	m	m	M	0.499	1
250.213	n/a	categorize_trial	v	v	X	0.639	1
253.223	n/a	categorize_trial	m	m	M	0.807	1
256.233	n/a	categorize_trial	v	v	X	1.241	1
259.251	n/a	categorize_trial	v	v	X	0.714	1
262.269	n/a	categorize_trial	v	v	X	0.688	1
265.28	n/a	categorize_trial	v	v	X	0.54	1
268.29	n/a	categorize_trial	v	v	X	0.442	1
271.3	n/a	categorize_trial	m	m	M	0.812	1
274.326	n/a	categorize_trial	m	m	M	0.927	1
277.336	n/a	categorize_trial	m	m	M	0.732	1
280.354	n/a	categorize_trial	m	m	M	0.683	1
