onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
60.0	n/a	categorize_trial	v	v	X	2.313	1
63.022	n/a	categorize_trial	v	v	X	1.075	1
66.044	n/a	categorize_trial	m	m	M	0.534	1
69.073	n/a	categorize_trial	v	v	X	1.063	1
72.087	n/a	categorize_trial	v	v	X	0.913	1
75.101	n/a	categorize_trial	m	v	X	0.708	0
78.115	n/a	categorize_trial	v	v	X	0.837	1
81.121	n/a	categorize_trial	v	v	X	1.727	1
84.135	n/a	categorize_trial	v	v	X	0.649	1
87.157	n/a	categorize_trial	v	v	X	0.707	1
90.179	n/a	categorize_trial	m	v	X	1.718	0
93.193	n/a	categorize_trial	m	m	M	0.936	1
96.223	n/a	categorize_trial	m	m	M	0.842	1
99.237	n/a	categorize_trial	m	m	M	1.004	1
102.258	n/a	categorize_trial	v	v	X	0.974	1
105.272	n/a	categorize_trial	m	m	M	0.672	1
108.286	n/a	categorize_trial	v	v	X	0.938	1
111.308	n/a	categorize_trial	v	v	X	0.725	1
114.33	n/a	categorize_trial	v	v	X	0.799	1
117.336	n/a	categorize_trial	m	v	X	0.794	0
120.342	n/a	categorize_trial	m	m	M	1.154	1
123.349	n/a	categorize_trial	m	v	X	1.029	0
126.378	n/a	categorize_trial	m	m	M	1.054	1
129.392	n/a	categorize_trial	v	v	X	1.072	1
132.422	n/a	categorize_trial	v	m	M	1.827	0
135.428	n/a	categorize_trial	m	m	M	0.669	1
138.434	n/a	categorize_trial	v	v	X	1.295	1
141.448	n/a	categorize_trial	m	m	M	0.737	1
144.462	n/a	categorize_trial	m	m	M	0.859	1
147.476	n/a	categorize_trial	m	m	M	1.189	1
150.498	n/a	categorize_trial	m	m	M	2.039	1
153.504	n/a	categorize_trial	m	m	M	1.113	1
156.526	n/a	categorize_trial	m	m	M	0.868	1
159.54	n/a	categorize_trial	m	m	M	0.613	1
162.554	n/a	categorize_trial	v	v	X	0.703	1
165.576	n/a	categorize_trial	v	v	X	1.025	1
168.598	n/a	categorize_trial	v	v	X	1.483	1
171.627	n/a	categorize_trial	m	m	M	0.646	1
174.641	n/a	categorize_trial	v	v	X	0.776	1
177.663	n/a	categorize_trial	v	v	X	0.65	1
180.677	n/a	categorize_trial	v	v	X	0.654	1
183.683	n/a	categorize_trial	m	m	M	1.086	1
186.705	n/a	categorize_trial	v	v	X	2.184	1
189.727	n/a	categorize_trial	m	m	M	0.762	1
192.749	n/a	categorize_trial	v	v	X	0.876	1
195.77	n/a	categorize_trial	v	v	X	0.942	1
198.8	n/a	categorize_trial	v	v	X	1.298	1
201.806	n/a	categorize_trial	m	m	M	0.683	1
204.812	n/a	categorize_trial	v	v	X	1.22	1
207.826	n/a	categorize_trial	m	m	M	1.167	1
210.848	n/a	categorize_trial	v	v	X	0.881	1
213.854	n/a	categorize_trial	v	v	X	0.77	1
216.868	n/a	categorize_trial	v	v	X	0.636	1
219.882	n/a	categorize_trial	v	v	X	0.606	1
222.896	n/a	categorize_trial	v	v	X	0.552	1
225.91	n/a	categorize_trial	m	m	M	1.098	1
228.916	n/a	categorize_trial	v	v	X	0.908	1
231.93	n/a	categorize_trial	v	v	X	0.623	1
234.937	n/a	categorize_trial	m	m	M	0.832	1
237.943	n/a	categorize_trial	m	m	M	2.098	1
240.949	n/a	categorize_trial	m	m	M	0.812	1
243.955	n/a	categorize_trial	v	v	X	2.222	1
246.977	n/a	categorize_trial	m	v	X	2.457	0
249.991	n/a	categorize_trial	v	v	X	0.834	1
252.997	n/a	categorize_trial	m	v	X	0.781	0
256.003	n/a	categorize_trial	m	m	M	0.637	1
259.025	n/a	categorize_trial	m	m	M	0.663	1
262.039	n/a	categorize_trial	m	m	M	0.817	1
265.061	n/a	categorize_trial	v	v	X	0.86	1
268.083	n/a	categorize_trial	m	m	M	0.903	1
271.112	n/a	categorize_trial	m	m	M	0.688	1
274.119	n/a	categorize_trial	m	m	M	0.818	1
277.14	n/a	categorize_trial	m	m	M	0.732	1
280.162	n/a	categorize_trial	m	m	M	0.759	1
