onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
60.0	n/a	categorize_trial	v	v	X	0.939	1
62.514	n/a	categorize_trial	v	v	X	1.366	1
65.052	n/a	categorize_trial	v	v	X	1.011	1
67.574	n/a	categorize_trial	m	m	M	0.926	1
70.088	n/a	categorize_trial	v	v	X	1.163	1
72.618	n/a	categorize_trial	v	v	X	1.428	1
75.14	n/a	categorize_trial	m	v	X	1.617	0
77.654	n/a	categorize_trial	m	v	X	0.989	0
80.176	n/a	categorize_trial	m	m	M	0.862	1
82.706	n/a	categorize_trial	v	m	M	1.134	0
85.228	n/a	categorize_trial	m	v	X	1.179	0
87.75	n/a	categorize_trial	m	m	M	1.365	1
90.272	n/a	categorize_trial	v	v	X	1.395	1
92.802	n/a	categorize_trial	m	m	M	0.817	1
95.332	n/a	categorize_trial	m	m	M	0.842	1
97.862	n/a	categorize_trial	m	m	M	0.807	1
100.392	n/a	categorize_trial	m	m	M	0.684	1
102.914	n/a	categorize_trial	m	m	M	0.634	1
105.436	n/a	categorize_trial	v	m	M	0.65	0
107.966	n/a	categorize_trial	v	v	X	1.0	1
110.496	n/a	categorize_trial	v	v	X	1.344	1
113.018	n/a	categorize_trial	v	v	X	0.724	1
115.54	n/a	categorize_trial	v	v	X	0.725	1
118.054	n/a	categorize_trial	m	m	M	0.708	1
120.584	n/a	categorize_trial	v	m	M	0.639	0
123.106	n/a	categorize_trial	v	m	M	0.704	0
125.628	n/a	categorize_trial	m	v	X	1.163	0
128.15	n/a	categorize_trial	m	m	M	0.664	1
130.688	n/a	categorize_trial	m	m	M	0.559	1
133.21	n/a	categorize_trial	m	v	X	1.313	0
135.74	n/a	categorize_trial	v	m	M	1.757	0
138.262	n/a	categorize_trial	m	v	X	1.223	0
140.784	n/a	categorize_trial	v	v	X	1.592	1
143.314	n/a	categorize_trial	m	m	M	0.836	1
145.828	n/a	categorize_trial	v	m	M	1.217	0
148.334	n/a	categorize_trial	v	v	X	1.663	1
150.848	n/a	categorize_trial	m	m	M	1.317	1
153.363	n/a	categorize_trial	m	m	M	1.344	1
155.885	n/a	categorize_trial	v	v	X	0.848	1
158.407	n/a	categorize_trial	m	m	M	0.785	1
160.929	n/a	categorize_trial	v	v	X	1.288	1
163.459	n/a	categorize_trial	m	m	M	1.04	1
165.981	n/a	categorize_trial	v	v	X	0.858	1
168.495	n/a	categorize_trial	m	m	M	0.772	1
171.025	n/a	categorize_trial	m	m	M	0.712	1
173.539	n/a	categorize_trial	v	v	X	1.012	1
176.053	n/a	categorize_trial	m	m	M	0.601	1
178.583	n/a	categorize_trial	v	v	X	1.428	1
181.105	n/a	categorize_trial	m	m	M	0.805	1
183.635	n/a	categorize_trial	v	v	X	1.25	1
186.157	n/a	categorize_trial	v	v	X	0.814	1
188.687	n/a	categorize_trial	v	v	X	0.934	1
191.209	n/a	categorize_trial	m	m	M	0.89	1
193.731	n/a	categorize_trial	v	v	X	1.384	1
196.253	n/a	categorize_trial	v	v	X	0.7	1
198.775	n/a	categorize_trial	m	v	X	0.998	0
201.297	n/a	categorize_trial	m	m	M	0.83	1
203.827	n/a	categorize_trial	m	m	M	0.614	1
206.349	n/a	categorize_trial	v	m	M	1.108	0
208.863	n/a	categorize_trial	v	v	X	1.031	1
211.393	n/a	categorize_trial	v	v	X	0.737	1
213.923	n/a	categorize_trial	m	v	X	1.007	0
216.437	n/a	categorize_trial	m	m	M	0.662	1
218.967	n/a	categorize_trial	v	m	M	1.446	0
221.489	n/a	categorize_trial	v	v	X	1.653	1
224.004	n/a	categorize_trial	m	v	X	1.492	0
226.526	n/a	categorize_trial	m	m	M	0.969	1
229.048	n/a	categorize_trial	m	v	X	0.759	0
231.585	n/a	categorize_trial	v	m	M	1.006	0
234.1	n/a	categorize_trial	m	v	X	1.257	0
236.629	n/a	categorize_trial	v	v	X	0.923	1
239.159	n/a	categorize_trial	v	v	X	1.047	1
244.203	n/a	categorize_trial	m	v	X	0.091	0
