onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
63.004	n/a	categorize_trial	m	m	M	0.765	1
66.008	n/a	categorize_trial	v	v	X	0.984	1
69.015	n/a	categorize_trial	v	v	X	0.881	1
72.014	n/a	categorize_trial	v	v	X	0.672	1
75.02	n/a	categorize_trial	m	m	M	0.669	1
78.021	n/a	categorize_trial	m	m	M	1.202	1
81.027	n/a	categorize_trial	m	m	M	0.942	1
84.031	n/a	categorize_trial	v	m	M	0.754	0
87.036	n/a	categorize_trial	v	v	X	0.948	1
90.037	n/a	categorize_trial	m	m	M	1.101	1
93.042	n/a	categorize_trial	m	m	M	1.514	1
96.045	n/a	categorize_trial	v	v	X	0.858	1
99.053	n/a	categorize_trial	m	v	X	1.803	0
102.057	n/a	categorize_trial	v	v	X	1.424	1
105.058	n/a	categorize_trial	m	v	X	0.903	0
108.062	n/a	categorize_trial	v	v	X	1.509	1
111.067	n/a	categorize_trial	m	m	M	1.655	1
114.074	n/a	categorize_trial	v	v	X	0.664	1
117.076	n/a	categorize_trial	m	m	M	0.596	1
120.081	n/a	categorize_trial	v	v	X	1.015	1
123.083	n/a	categorize_trial	v	v	X	0.752	1
126.087	n/a	categorize_trial	v	v	X	0.712	1
129.091	n/a	categorize_trial	v	m	M	0.885	0
132.095	n/a	categorize_trial	v	v	X	0.643	1
135.102	n/a	categorize_trial	m	m	M	0.521	1
138.107	n/a	categorize_trial	m	m	M	0.767	1
141.11	n/a	categorize_trial	v	m	M	1.803	0
144.112	n/a	categorize_trial	m	v	X	1.341	0
147.118	n/a	categorize_trial	m	v	X	1.427	0
150.122	n/a	categorize_trial	m	m	M	0.591	1
153.124	n/a	categorize_trial	v	v	X	1.307	1
156.127	n/a	categorize_trial	v	v	X	1.912	1
159.131	n/a	categorize_trial	m	m	M	0.776	1
162.135	n/a	categorize_trial	m	m	M	1.193	1
165.139	n/a	categorize_trial	m	m	M	0.67	1
168.145	n/a	categorize_trial	m	m	M	1.243	1
171.149	n/a	categorize_trial	m	m	M	0.515	1
174.154	n/a	categorize_trial	m	m	M	0.541	1
177.158	n/a	categorize_trial	m	m	M	1.385	1
180.159	n/a	categorize_trial	m	v	X	2.314	0
183.164	n/a	categorize_trial	m	v	X	1.373	0
186.168	n/a	categorize_trial	v	v	X	0.651	1
189.17	n/a	categorize_trial	m	m	M	1.071	1
192.173	n/a	categorize_trial	m	m	M	0.692	1
195.179	n/a	categorize_trial	m	m	M	0.608	1
198.181	n/a	categorize_trial	m	m	M	0.574	1
201.185	n/a	categorize_trial	v	v	X	1.062	1
204.188	n/a	categorize_trial	m	m	M	0.966	1
207.19	n/a	categorize_trial	v	v	X	0.786	1
210.195	n/a	categorize_trial	v	v	X	0.943	1
213.2	n/a	categorize_trial	v	v	X	0.985	1
216.202	n/a	categorize_trial	v	v	X	0.606	1
219.21	n/a	categorize_trial	m	m	M	0.547	1
222.214	n/a	categorize_trial	m	m	M	0.907	1
225.218	n/a	categorize_trial	m	m	M	0.558	1
228.221	n/a	categorize_trial	v	v	X	0.739	1
231.225	n/a	categorize_trial	v	v	X	0.783	1
234.23	n/a	categorize_trial	v	v	X	1.869	1
237.232	n/a	categorize_trial	v	v	X	0.642	1
240.235	n/a	categorize_trial	v	v	X	0.969	1
243.238	n/a	categorize_trial	m	m	M	0.619	1
246.244	n/a	categorize_trial	v	v	X	0.728	1
249.247	n/a	categorize_trial	m	m	M	0.842	1
252.252	n/a	categorize_trial	m	m	M	0.773	1
255.259	n/a	categorize_trial	v	v	X	0.879	1
258.261	n/a	categorize_trial	m	m	M	1.575	1
261.263	n/a	categorize_trial	m	m	M	0.737	1
264.268	n/a	categorize_trial	m	m	M	0.693	1
267.273	n/a	categorize_trial	v	v	X	0.889	1
270.277	n/a	categorize_trial	v	v	X	0.941	1
273.282	n/a	categorize_trial	v	v	X	0.92	1
276.285	n/a	categorize_trial	v	v	X	0.692	1
279.292	n/a	categorize_trial	v	v	X	0.805	1
