onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
60.0	n/a	categorize_trial	v	v	X	0.85	1
63.014	n/a	categorize_trial	v	v	X	1.533	1
66.02	n/a	categorize_trial	v	v	X	0.956	1
69.034	n/a	categorize_trial	m	m	M	0.509	1
72.048	n/a	categorize_trial	v	v	X	0.556	1
75.062	n/a	categorize_trial	m	m	M	0.56	1
78.076	n/a	categorize_trial	m	m	M	0.54	1
81.098	n/a	categorize_trial	v	v	X	0.957	1
84.112	n/a	categorize_trial	m	v	X	1.641	0
87.126	n/a	categorize_trial	v	v	X	0.708	1
90.148	n/a	categorize_trial	v	v	X	1.097	1
93.162	n/a	categorize_trial	v	v	X	1.389	1
96.183	n/a	categorize_trial	v	v	X	1.566	1
99.197	n/a	categorize_trial	m	m	M	0.614	1
102.219	n/a	categorize_trial	v	v	X	0.568	1
105.233	n/a	categorize_trial	m	m	M	0.609	1
108.247	n/a	categorize_trial	m	v	X	0.535	0
111.261	n/a	categorize_trial	v	v	X	0.611	1
114.283	n/a	categorize_trial	m	m	M	0.722	1
117.289	n/a	categorize_trial	m	m	M	0.488	1
120.311	n/a	categorize_trial	v	v	X	0.629	1
123.325	n/a	categorize_trial	v	m	M	0.585	0
126.354	n/a	categorize_trial	m	m	M	0.893	1
129.368	n/a	categorize_trial	m	m	M	0.585	1
132.375	n/a	categorize_trial	m	m	M	0.634	1
135.389	n/a	categorize_trial	m	m	M	0.536	1
138.418	n/a	categorize_trial	v	m	M	0.579	0
141.432	n/a	categorize_trial	m	m	M	0.692	1
144.454	n/a	categorize_trial	v	m	M	0.502	0
147.468	n/a	categorize_trial	v	v	X	0.518	1
150.482	n/a	categorize_trial	m	m	M	1.286	1
153.496	n/a	categorize_trial	v	m	M	0.949	0
156.518	n/a	categorize_trial	m	m	M	0.867	1
159.524	n/a	categorize_trial	m	m	M	0.71	1
162.546	n/a	categorize_trial	m	m	M	0.667	1
165.567	n/a	categorize_trial	v	v	X	0.74	1
168.581	n/a	categorize_trial	m	m	M	0.698	1
171.588	n/a	categorize_trial	v	m	M	0.577	0
174.594	n/a	categorize_trial	m	m	M	1.285	1
177.623	n/a	categorize_trial	v	v	X	0.807	1
180.629	n/a	categorize_trial	v	v	X	0.734	1
183.651	n/a	categorize_trial	m	m	M	0.724	1
186.657	n/a	categorize_trial	v	v	X	1.098	1
189.687	n/a	categorize_trial	v	v	X	0.569	1
192.693	n/a	categorize_trial	m	m	M	0.587	1
195.699	n/a	categorize_trial	v	v	X	0.684	1
198.729	n/a	categorize_trial	m	m	M	0.57	1
201.743	n/a	categorize_trial	m	m	M	0.574	1
204.757	n/a	categorize_trial	v	v	X	0.688	1
207.771	n/a	categorize_trial	v	v	X	0.657	1
210.777	n/a	categorize_trial	m	m	M	0.807	1
213.799	n/a	categorize_trial	m	m	M	0.575	1
216.821	n/a	categorize_trial	m	m	M	0.554	1
219.842	n/a	categorize_trial	v	v	X	1.003	1
222.849	n/a	categorize_trial	v	v	X	0.864	1
225.863	n/a	categorize_trial	m	m	M	0.556	1
228.877	n/a	categorize_trial	m	v	X	0.512	0
231.898	n/a	categorize_trial	v	v	X	0.935	1
234.92	n/a	categorize_trial	v	v	X	0.745	1
237.942	n/a	categorize_trial	m	v	X	0.994	0
240.956	n/a	categorize_trial	v	v	X	1.119	1
243.962	n/a	categorize_trial	m	m	M	0.591	1
246.976	n/a	categorize_trial	v	v	X	1.046	1
249.998	n/a	categorize_trial	m	m	M	0.712	1
253.012	n/a	categorize_trial	m	m	M	0.56	1
256.034	n/a	categorize_trial	m	m	M	0.479	1
259.055	n/a	categorize_trial	v	v	X	0.559	1
262.069	n/a	categorize_trial	m	m	M	1.02	1
265.083	n/a	categorize_trial	m	m	M	0.742	1
268.097	n/a	categorize_trial	m	v	X	2.459	0
271.104	n/a	categorize_trial	v	v	X	0.806	1
274.125	n/a	categorize_trial	m	m	M	0.889	1
277.147	n/a	categorize_trial	v	v	X	2.193	1
280.153	n/a	categorize_trial	v	v	X	0.835	1
