onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
60.0	n/a	categorize_trial	m	m	M	1.243	1
62.522	n/a	categorize_trial	m	v	X	1.024	0
65.021	n/a	categorize_trial	m	m	M	1.052	1
67.535	n/a	categorize_trial	m	m	M	0.451	1
70.057	n/a	categorize_trial	v	v	X	0.673	1
72.579	n/a	categorize_trial	v	v	X	0.851	1
75.101	n/a	categorize_trial	m	m	M	0.535	1
77.623	n/a	categorize_trial	m	m	M	0.801	1
80.145	n/a	categorize_trial	v	v	X	0.791	1
82.675	n/a	categorize_trial	v	v	X	0.789	1
85.189	n/a	categorize_trial	m	m	M	0.796	1
87.719	n/a	categorize_trial	m	v	X	0.612	0
90.249	n/a	categorize_trial	m	m	M	1.157	1
92.771	n/a	categorize_trial	v	v	X	0.653	1
95.285	n/a	categorize_trial	v	m	M	0.944	0
97.815	n/a	categorize_trial	m	m	M	1.068	1
100.337	n/a	categorize_trial	v	v	X	0.811	1
102.859	n/a	categorize_trial	v	m	M	0.599	0
105.381	n/a	categorize_trial	v	m	M	0.687	0
107.911	n/a	categorize_trial	v	v	X	1.015	1
110.433	n/a	categorize_trial	m	m	M	0.653	1
112.955	n/a	categorize_trial	m	m	M	1.078	1
115.485	n/a	categorize_trial	v	v	X	0.79	1
118.015	n/a	categorize_trial	m	m	M	0.601	1
120.522	n/a	categorize_trial	v	v	X	0.771	1
123.044	n/a	categorize_trial	m	m	M	0.544	1
125.558	n/a	categorize_trial	m	m	M	0.716	1
128.088	n/a	categorize_trial	v	v	X	0.893	1
130.61	n/a	categorize_trial	v	m	M	0.643	0
133.14	n/a	categorize_trial	m	m	M	0.513	1
135.662	n/a	categorize_trial	m	m	M	0.549	1
138.192	n/a	categorize_trial	v	v	X	0.696	1
140.714	n/a	categorize_trial	v	m	M	0.74	0
143.228	n/a	categorize_trial	v	m	M	0.617	0
145.75	n/a	categorize_trial	v	m	M	0.698	0
148.272	n/a	categorize_trial	m	m	M	0.808	1
150.802	n/a	categorize_trial	m	m	M	0.55	1
153.324	n/a	categorize_trial	v	v	X	0.571	1
155.846	n/a	categorize_trial	v	v	X	0.771	1
158.376	n/a	categorize_trial	v	v	X	0.896	1
160.898	n/a	categorize_trial	m	v	X	0.736	0
163.428	n/a	categorize_trial	v	v	X	1.065	1
165.958	n/a	categorize_trial	m	m	M	0.596	1
168.472	n/a	categorize_trial	v	v	X	0.572	1
171.002	n/a	categorize_trial	m	m	M	1.237	1
173.54	n/a	categorize_trial	m	m	M	0.694	1
176.069	n/a	categorize_trial	m	v	X	1.15	0
178.576	n/a	categorize_trial	m	m	M	0.54	1
181.106	n/a	categorize_trial	m	m	M	0.62	1
183.636	n/a	categorize_trial	v	v	X	0.61	1
186.165	n/a	categorize_trial	m	m	M	0.555	1
188.672	n/a	categorize_trial	m	v	X	0.915	0
191.194	n/a	categorize_trial	v	v	X	0.792	1
193.724	n/a	categorize_trial	v	m	M	0.744	0
196.238	n/a	categorize_trial	m	m	M	0.66	1
198.768	n/a	categorize_trial	m	m	M	0.68	1
201.298	n/a	categorize_trial	m	v	X	0.971	0
203.828	n/a	categorize_trial	m	m	M	0.6	1
206.358	n/a	categorize_trial	v	v	X	0.687	1
208.887	n/a	categorize_trial	v	v	X	0.707	1
211.402	n/a	categorize_trial	v	m	M	1.614	0
213.932	n/a	categorize_trial	m	m	M	0.906	1
216.446	n/a	categorize_trial	v	m	M	0.581	0
218.976	n/a	categorize_trial	v	v	X	0.624	1
221.506	n/a	categorize_trial	v	m	M	0.794	0
224.02	n/a	categorize_trial	m	m	M	0.696	1
226.526	n/a	categorize_trial	m	v	X	0.865	0
229.048	n/a	categorize_trial	m	v	X	1.171	0
231.555	n/a	categorize_trial	v	m	M	0.599	0
234.077	n/a	categorize_trial	v	v	X	0.726	1
236.599	n/a	categorize_trial	v	m	M	0.745	0
239.129	n/a	categorize_trial	m	m	M	0.593	1
241.635	n/a	categorize_trial	v	v	X	0.958	1
244.149	n/a	categorize_trial	m	m	M	0.822	1
