onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
63.006	n/a	categorize_trial	m	m	M	1.24	1
66.028	n/a	categorize_trial	m	m	M	1.067	1
69.042	n/a	categorize_trial	v	v	X	1.864	1
72.064	n/a	categorize_trial	v	v	X	1.376	1
75.093	n/a	categorize_trial	m	m	M	0.807	1
78.107	n/a	categorize_trial	v	m	M	1.138	0
81.121	n/a	categorize_trial	m	v	X	1.126	0
84.143	n/a	categorize_trial	m	m	M	0.698	1
87.165	n/a	categorize_trial	v	m	M	1.2	0
90.195	n/a	categorize_trial	m	m	M	0.752	1
93.208	n/a	categorize_trial	m	m	M	0.648	1
96.23	n/a	categorize_trial	m	m	M	1.226	1
99.252	n/a	categorize_trial	m	m	M	0.693	1
102.266	n/a	categorize_trial	m	m	M	0.56	1
105.28	n/a	categorize_trial	v	v	X	1.941	1
108.294	n/a	categorize_trial	m	m	M	0.922	1
111.324	n/a	categorize_trial	m	m	M	1.176	1
114.338	n/a	categorize_trial	v	v	X	1.209	1
117.352	n/a	categorize_trial	m	m	M	1.165	1
120.366	n/a	categorize_trial	m	m	M	0.7	1
123.387	n/a	categorize_trial	v	m	M	0.918	0
126.401	n/a	categorize_trial	v	m	M	1.1	0
129.415	n/a	categorize_trial	v	v	X	0.861	1
132.445	n/a	categorize_trial	v	v	X	1.956	1
135.459	n/a	categorize_trial	v	v	X	1.161	1
138.489	n/a	categorize_trial	m	m	M	0.727	1
141.503	n/a	categorize_trial	m	m	M	0.774	1
144.517	n/a	categorize_trial	m	m	M	0.684	1
147.538	n/a	categorize_trial	v	v	X	0.978	1
150.552	n/a	categorize_trial	v	v	X	1.248	1
153.566	n/a	categorize_trial	m	m	M	0.755	1
156.572	n/a	categorize_trial	v	v	X	0.81	1
159.602	n/a	categorize_trial	v	v	X	1.364	1
162.616	n/a	categorize_trial	m	m	M	1.14	1
165.63	n/a	categorize_trial	v	v	X	0.976	1
168.652	n/a	categorize_trial	v	v	X	1.553	1
171.674	n/a	categorize_trial	m	m	M	1.052	1
174.695	n/a	categorize_trial	v	v	X	0.865	1
177.717	n/a	categorize_trial	m	m	M	0.65	1
180.739	n/a	categorize_trial	m	m	M	0.881	1
183.761	n/a	categorize_trial	m	m	M	0.544	1
186.783	n/a	categorize_trial	v	v	X	0.899	1
189.804	n/a	categorize_trial	m	m	M	0.817	1
192.818	n/a	categorize_trial	v	v	X	0.922	1
195.832	n/a	categorize_trial	m	m	M	0.713	1
198.846	n/a	categorize_trial	m	m	M	0.759	1
201.86	n/a	categorize_trial	v	m	M	0.746	0
204.89	n/a	categorize_trial	m	m	M	0.655	1
207.904	n/a	categorize_trial	m	m	M	0.641	1
210.934	n/a	categorize_trial	v	m	M	0.748	0
213.955	n/a	categorize_trial	m	m	M	1.251	1
216.969	n/a	categorize_trial	v	v	X	0.906	1
219.991	n/a	categorize_trial	v	v	X	1.154	1
223.005	n/a	categorize_trial	v	m	M	1.815	0
226.019	n/a	categorize_trial	v	v	X	0.737	1
229.033	n/a	categorize_trial	m	m	M	0.632	1
232.047	n/a	categorize_trial	m	m	M	0.679	1
235.069	n/a	categorize_trial	m	m	M	0.897	1
238.091	n/a	categorize_trial	m	m	M	0.546	1
241.097	n/a	categorize_trial	v	v	X	1.048	1
244.119	n/a	categorize_trial	m	m	M	0.503	1
247.14	n/a	categorize_trial	m	m	M	1.487	1
250.154	n/a	categorize_trial	v	v	X	1.141	1
253.176	n/a	categorize_trial	m	m	M	0.609	1
256.19	n/a	categorize_trial	m	v	X	1.03	0
259.212	n/a	categorize_trial	v	m	M	0.424	0
262.218	n/a	categorize_trial	v	v	X	0.838	1
265.232	n/a	categorize_trial	v	m	M	0.796	0
268.254	n/a	categorize_trial	v	v	X	1.266	1
271.268	n/a	categorize_trial	m	m	M	0.878	1
274.29	n/a	categorize_trial	v	v	X	0.645	1
277.319	n/a	categorize_trial	v	v	X	0.646	1
280.341	n/a	categorize_trial	v	v	X	0.7	1
