onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
60.0	n/a	categorize_trial	m	m	M	1.867	1
62.522	n/a	categorize_trial	m	m	M	0.996	1
65.052	n/a	categorize_trial	v	v	X	1.902	1
67.566	n/a	categorize_trial	m	m	M	0.556	1
70.096	n/a	categorize_trial	v	v	X	0.966	1
72.618	n/a	categorize_trial	m	m	M	0.602	1
75.132	n/a	categorize_trial	v	v	X	0.735	1
77.654	n/a	categorize_trial	m	v	X	0.528	0
80.161	n/a	categorize_trial	m	v	X	1.968	0
82.667	n/a	categorize_trial	m	m	M	0.776	1
85.189	n/a	categorize_trial	v	v	X	0.874	1
87.719	n/a	categorize_trial	v	v	X	0.594	1
90.226	n/a	categorize_trial	v	v	X	1.211	1
92.74	n/a	categorize_trial	m	m	M	0.687	1
95.254	n/a	categorize_trial	v	v	X	1.158	1
97.776	n/a	categorize_trial	m	m	M	0.833	1
100.298	n/a	categorize_trial	v	v	X	0.77	1
102.82	n/a	categorize_trial	m	m	M	1.005	1
105.342	n/a	categorize_trial	v	v	X	0.706	1
107.872	n/a	categorize_trial	v	m	M	0.795	0
110.394	n/a	categorize_trial	m	m	M	0.965	1
112.901	n/a	categorize_trial	v	v	X	0.65	1
115.43	n/a	categorize_trial	m	m	M	0.625	1
117.945	n/a	categorize_trial	v	v	X	0.985	1
120.467	n/a	categorize_trial	v	v	X	1.062	1
122.981	n/a	categorize_trial	v	v	X	1.164	1
125.503	n/a	categorize_trial	m	m	M	0.559	1
128.009	n/a	categorize_trial	v	v	X	1.044	1
130.539	n/a	categorize_trial	m	v	X	1.658	0
133.061	n/a	categorize_trial	m	m	M	0.82	1
135.583	n/a	categorize_trial	v	v	X	0.685	1
138.098	n/a	categorize_trial	m	m	M	1.581	1
140.612	n/a	categorize_trial	m	m	M	0.679	1
143.142	n/a	categorize_trial	v	v	X	0.569	1
145.672	n/a	categorize_trial	m	m	M	0.793	1
148.201	n/a	categorize_trial	v	v	X	1.828	1
150.724	n/a	categorize_trial	m	m	M	0.733	1
153.238	n/a	categorize_trial	m	m	M	1.029	1
155.752	n/a	categorize_trial	m	m	M	0.629	1
158.266	n/a	categorize_trial	v	v	X	0.791	1
160.788	n/a	categorize_trial	m	m	M	0.704	1
163.303	n/a	categorize_trial	v	v	X	1.17	1
165.825	n/a	categorize_trial	m	m	M	1.063	1
168.347	n/a	categorize_trial	m	m	M	0.66	1
170.869	n/a	categorize_trial	v	v	X	1.331	1
173.391	n/a	categorize_trial	m	m	M	0.672	1
175.905	n/a	categorize_trial	m	v	X	1.321	0
178.419	n/a	categorize_trial	v	v	X	0.64	1
180.941	n/a	categorize_trial	m	m	M	0.801	1
183.471	n/a	categorize_trial	m	m	M	0.731	1
185.993	n/a	categorize_trial	v	v	X	0.655	1
188.515	n/a	categorize_trial	m	m	M	0.604	1
191.045	n/a	categorize_trial	v	v	X	0.785	1
193.559	n/a	categorize_trial	v	v	X	0.736	1
196.081	n/a	categorize_trial	v	v	X	0.639	1
198.603	n/a	categorize_trial	m	m	M	0.621	1
201.133	n/a	categorize_trial	v	v	X	0.912	1
203.648	n/a	categorize_trial	v	m	M	0.839	0
206.17	n/a	categorize_trial	m	m	M	0.537	1
208.692	n/a	categorize_trial	v	v	X	0.69	1
211.214	n/a	categorize_trial	v	v	X	0.561	1
213.728	n/a	categorize_trial	m	v	X	1.623	0
216.25	n/a	categorize_trial	v	v	X	0.629	1
218.78	n/a	categorize_trial	m	m	M	0.655	1
221.294	n/a	categorize_trial	m	m	M	0.625	1
223.824	n/a	categorize_trial	v	v	X	0.663	1
226.338	n/a	categorize_trial	m	m	M	0.592	1
228.868	n/a	categorize_trial	v	m	M	0.749	0
231.39	n/a	categorize_trial	m	m	M	0.598	1
233.92	n/a	categorize_trial	v	v	X	1.287	1
236.45	n/a	categorize_trial	m	m	M	0.561	1
238.964	n/a	categorize_trial	m	v	X	0.894	0
241.486	n/a	categorize_trial	v	v	X	1.26	1
243.993	n/a	categorize_trial	v	v	X	0.669	1
