name	type	units	sampling_frequency	contact_quality_mean
AF3	EEG	uV	128.0	3.98
F7	EEG	uV	128.0	3.98
F3	EEG	uV	128.0	3.98
FC5	EEG	uV	128.0	3.98
T7	EEG	uV	128.0	3.98
P7	EEG	uV	128.0	3.87
O1	EEG	uV	128.0	3.99
O2	EEG	uV	128.0	3.98
P8	EEG	uV	128.0	3.98
T8	EEG	uV	128.0	3.98
FC6	EEG	uV	128.0	3.98
F4	EEG	uV	128.0	3.98
F8	EEG	uV	128.0	3.98
AF4	EEG	uV	128.0	3.97
