onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
60.0	n/a	categorize_trial	v	v	X	1.782	1
62.503	n/a	categorize_trial	v	v	X	1.083	1
65.005	n/a	categorize_trial	m	m	M	1.202	1
67.508	n/a	categorize_trial	v	v	X	1.039	1
70.014	n/a	categorize_trial	v	v	X	1.05	1
72.517	n/a	categorize_trial	m	m	M	0.721	1
75.019	n/a	categorize_trial	m	m	M	1.212	1
77.522	n/a	categorize_trial	m	v	X	1.164	0
80.028	n/a	categorize_trial	v	v	X	1.023	1
82.531	n/a	categorize_trial	v	v	X	1.236	1
85.037	n/a	categorize_trial	m	m	M	0.594	1
87.54	n/a	categorize_trial	v	v	X	0.947	1
90.042	n/a	categorize_trial	v	v	X	0.69	1
92.545	n/a	categorize_trial	m	v	X	0.657	0
95.048	n/a	categorize_trial	v	v	X	0.806	1
97.55	n/a	categorize_trial	m	v	X	0.936	0
100.053	n/a	categorize_trial	v	v	X	0.947	1
102.555	n/a	categorize_trial	m	m	M	0.619	1
105.058	n/a	categorize_trial	v	v	X	0.603	1
107.56	n/a	categorize_trial	m	v	X	0.624	0
110.063	n/a	categorize_trial	v	v	X	0.644	1
112.569	n/a	categorize_trial	m	m	M	0.579	1
115.072	n/a	categorize_trial	m	m	M	0.703	1
117.575	n/a	categorize_trial	m	v	X	0.774	0
120.077	n/a	categorize_trial	v	v	X	0.618	1
122.584	n/a	categorize_trial	m	v	X	1.33	0
125.086	n/a	categorize_trial	v	v	X	1.182	1
127.589	n/a	categorize_trial	v	v	X	0.801	1
130.091	n/a	categorize_trial	m	v	X	0.818	0
132.594	n/a	categorize_trial	m	m	M	1.07	1
135.096	n/a	categorize_trial	m	m	M	0.731	1
137.599	n/a	categorize_trial	v	m	M	0.68	0
140.102	n/a	categorize_trial	m	m	M	1.157	1
142.604	n/a	categorize_trial	m	v	X	0.658	0
145.107	n/a	categorize_trial	v	v	X	0.713	1
147.605	n/a	categorize_trial	m	m	M	0.84	1
150.112	n/a	categorize_trial	v	v	X	1.282	1
152.614	n/a	categorize_trial	v	v	X	0.657	1
155.117	n/a	categorize_trial	v	v	X	0.879	1
157.62	n/a	categorize_trial	m	m	M	0.527	1
160.122	n/a	categorize_trial	m	m	M	0.768	1
162.625	n/a	categorize_trial	m	m	M	0.639	1
165.127	n/a	categorize_trial	m	m	M	0.653	1
167.63	n/a	categorize_trial	m	m	M	0.73	1
170.132	n/a	categorize_trial	m	m	M	0.631	1
172.639	n/a	categorize_trial	v	v	X	0.687	1
175.141	n/a	categorize_trial	v	v	X	0.431	1
177.644	n/a	categorize_trial	v	v	X	0.559	1
180.147	n/a	categorize_trial	v	v	X	0.532	1
182.649	n/a	categorize_trial	m	m	M	1.292	1
185.152	n/a	categorize_trial	m	m	M	0.65	1
187.654	n/a	categorize_trial	v	v	X	0.565	1
190.157	n/a	categorize_trial	v	v	X	0.576	1
192.663	n/a	categorize_trial	v	v	X	0.529	1
195.166	n/a	categorize_trial	v	v	X	0.472	1
197.668	n/a	categorize_trial	v	v	X	0.503	1
200.171	n/a	categorize_trial	v	v	X	0.49	1
202.673	n/a	categorize_trial	m	m	M	0.901	1
205.18	n/a	categorize_trial	m	m	M	0.62	1
207.683	n/a	categorize_trial	v	v	X	0.719	1
210.185	n/a	categorize_trial	m	m	M	0.812	1
212.688	n/a	categorize_trial	v	v	X	0.566	1
215.19	n/a	categorize_trial	v	v	X	0.575	1
217.697	n/a	categorize_trial	m	v	X	1.339	0
220.199	n/a	categorize_trial	v	v	X	0.737	1
222.702	n/a	categorize_trial	m	m	M	0.564	1
225.204	n/a	categorize_trial	m	m	M	0.607	1
227.707	n/a	categorize_trial	m	m	M	1.427	1
230.21	n/a	categorize_trial	m	v	X	1.353	0
232.712	n/a	categorize_trial	m	m	M	1.251	1
235.219	n/a	categorize_trial	v	v	X	1.125	1
237.721	n/a	categorize_trial	m	m	M	0.642	1
240.224	n/a	categorize_trial	m	m	M	0.724	1
242.726	n/a	categorize_trial	v	v	X	1.515	1
