onset	duration	trial_type	stim_category	response	response_key	response_time	accuracy
0.0	30.0	rest_eyesopen	n/a	n/a	n/a	n/a	n/a
30.0	30.0	rest_eyesclosed	n/a	n/a	n/a	n/a	n/a
60.0	n/a	categorize_trial	m	m	M	0.909	1
62.506	n/a	categorize_trial	v	v	X	0.357	1
65.013	n/a	categorize_trial	v	v	X	0.626	1
67.519	n/a	categorize_trial	m	v	X	0.931	0
70.026	n/a	categorize_trial	v	v	X	0.652	1
72.532	n/a	categorize_trial	m	m	M	0.759	1
75.039	n/a	categorize_trial	v	v	X	0.5	1
77.545	n/a	categorize_trial	m	m	M	0.773	1
80.051	n/a	categorize_trial	m	m	M	0.754	1
82.558	n/a	categorize_trial	m	m	M	1.034	1
85.064	n/a	categorize_trial	m	m	M	0.449	1
87.579	n/a	categorize_trial	v	v	X	0.716	1
90.085	n/a	categorize_trial	m	m	M	0.477	1
92.591	n/a	categorize_trial	v	v	X	0.524	1
95.098	n/a	categorize_trial	m	m	M	0.596	1
97.604	n/a	categorize_trial	v	v	X	0.611	1
100.111	n/a	categorize_trial	m	m	M	0.515	1
102.617	n/a	categorize_trial	m	m	M	0.607	1
105.124	n/a	categorize_trial	v	v	X	0.887	1
107.63	n/a	categorize_trial	v	v	X	0.581	1
110.136	n/a	categorize_trial	v	v	X	0.607	1
112.651	n/a	categorize_trial	v	v	X	0.611	1
115.157	n/a	categorize_trial	m	m	M	0.574	1
117.664	n/a	categorize_trial	m	v	X	0.707	0
120.17	n/a	categorize_trial	v	v	X	0.818	1
122.676	n/a	categorize_trial	v	v	X	0.484	1
125.183	n/a	categorize_trial	m	m	M	0.763	1
127.689	n/a	categorize_trial	m	m	M	0.758	1
130.196	n/a	categorize_trial	m	m	M	0.52	1
132.702	n/a	categorize_trial	v	v	X	0.84	1
135.209	n/a	categorize_trial	v	m	M	0.698	0
137.715	n/a	categorize_trial	v	v	X	1.192	1
140.221	n/a	categorize_trial	v	v	X	0.556	1
142.728	n/a	categorize_trial	m	m	M	0.5	1
145.234	n/a	categorize_trial	m	m	M	0.557	1
147.741	n/a	categorize_trial	v	v	X	0.629	1
150.255	n/a	categorize_trial	m	m	M	0.478	1
152.761	n/a	categorize_trial	v	v	X	0.606	1
155.268	n/a	categorize_trial	m	v	X	0.55	0
157.767	n/a	categorize_trial	m	m	M	0.603	1
160.273	n/a	categorize_trial	m	m	M	0.502	1
162.779	n/a	categorize_trial	v	v	X	0.509	1
165.286	n/a	categorize_trial	v	v	X	0.484	1
167.8	n/a	categorize_trial	v	v	X	0.523	1
170.306	n/a	categorize_trial	v	v	X	0.599	1
172.813	n/a	categorize_trial	m	m	M	0.629	1
175.319	n/a	categorize_trial	m	m	M	0.486	1
177.826	n/a	categorize_trial	m	m	M	0.462	1
180.332	n/a	categorize_trial	v	v	X	0.513	1
182.839	n/a	categorize_trial	m	m	M	0.457	1
185.345	n/a	categorize_trial	m	v	X	0.737	0
187.852	n/a	categorize_trial	m	m	M	0.936	1
190.358	n/a	categorize_trial	v	m	M	0.672	0
192.864	n/a	categorize_trial	v	v	X	0.535	1
195.371	n/a	categorize_trial	m	v	X	0.445	0
197.885	n/a	categorize_trial	v	v	X	0.564	1
200.384	n/a	categorize_trial	m	m	M	0.618	1
202.898	n/a	categorize_trial	v	v	X	0.56	1
205.397	n/a	categorize_trial	v	v	X	0.639	1
207.903	n/a	categorize_trial	m	m	M	0.781	1
210.417	n/a	categorize_trial	m	m	M	0.52	1
212.924	n/a	categorize_trial	m	m	M	0.683	1
215.43	n/a	categorize_trial	v	v	X	0.531	1
217.937	n/a	categorize_trial	v	v	X	0.623	1
220.443	n/a	categorize_trial	m	m	M	0.414	1
222.949	n/a	categorize_trial	m	m	M	0.582	1
225.456	n/a	categorize_trial	v	v	X	0.596	1
227.962	n/a	categorize_trial	v	m	M	0.595	0
230.469	n/a	categorize_trial	v	v	X	0.516	1
232.975	n/a	categorize_trial	m	m	M	0.535	1
235.482	n/a	categorize_trial	v	v	X	0.673	1
237.988	n/a	categorize_trial	v	v	X	0.588	1
240.502	n/a	categorize_trial	m	v	X	0.513	0
243.009	n/a	categorize_trial	m	m	M	0.56	1
